"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[20435]","SEAMOUNT","EASTER SEAMOUNT CHAIN - SALAS Y GOMEZ RIDGE / UNNAMED SEAMOUNT (EASTER SEAMOUNT CHAIN) / DREDGE 115 / PACIFIC OCEAN","","-25.647","-25.651","-83.739","-83.754","SUBAQUATIC","-1561","-2442","s DRFT-115-1WR [20435]","BASALT [20435]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20435] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.1","","","","","","32","72","","125","","","","","","34.8","864","30.6","374","87","","","","","","","","","","","","0.23","543","73","135","15","56","9.8","2.8","9.2","1.18","6.1","1.03","2.6","0.4","2.2","0.32","8.7","5.23","","","","","","","","","3.18","","7.5","1.19","0.512835","","","0.70367","","20.066","","15.651","","39.941","","","","","","","","","","","","","","","1062913",
"[20435]","SEAMOUNT","EASTER SEAMOUNT CHAIN - SALAS Y GOMEZ RIDGE / UNNAMED SEAMOUNT (EASTER SEAMOUNT CHAIN) / DREDGE 115 / PACIFIC OCEAN","","-25.647","-25.651","-83.739","-83.754","SUBAQUATIC","-1561","-2442","s DRFT-115-1 G [20435]","BASALT [20435]","","","","","","","","","VOLCANIC ROCK","","","","","VOLCANIC GLASS [20435] ","50.04","2.94","","18.07","","","","8.17","6.87","3.46","0.15","","3.58","4.94","1.07","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1062914",
"[20435]","SEAMOUNT","EASTER SEAMOUNT CHAIN - SALAS Y GOMEZ RIDGE / UNNAMED SEAMOUNT (EASTER SEAMOUNT CHAIN) / DREDGE 121 / PACIFIC OCEAN","","-25.531","-25.544","-86.677","-86.685","SUBAQUATIC","-2334","-3088","s DRFT-121-1WR [20435]","BASALT [20435]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20435] ","64.5","0.7","","14.55","","","","8.28","1.41","0.51","0.3","","4.91","4.93","0.07","","","","","","","","","","","","","","","","6.07","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","147","","","","","","61","17","58.9","625","97","","","","","","","","","","","","1","137","53","122","14.4","57","12.3","3.4","12.3","1.91","10.6","2.12","5.6","0.9","5.6","0.9","14","5.25","","","","","","","","","4.11","","6.2","1.57","0.512901","","","0.71002","","19.514","","15.628","","39.398","","","","","","","","","","","","","","","1062915",
"[20435]","SEAMOUNT","EASTER SEAMOUNT CHAIN - SALAS Y GOMEZ RIDGE / UNNAMED SEAMOUNT (EASTER SEAMOUNT CHAIN) / DREDGE 122 / PACIFIC OCEAN","","-25.42","-25.421","-89.22","-89.232","SUBAQUATIC","-2115","-2690","s DRFT-122-1 G [20435]","BASALT [20435]","","","","","","","","","VOLCANIC ROCK","","","","","VOLCANIC GLASS [20435] ","48.98","3.48","","14.37","","","","12.8","9.94","4.97","0.22","","0.92","3.19","0.51","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34.3","","","87","","","33","31","","139","","","","","","16.5","352","36.9","208","29","","","","","","","","","","","","2.17","116","20","45","6.2","27","6.6","2.2","7.3","1.14","6.4","1.31","3.4","0.5","3.1","0.47","5.1","1.79","","","","","","","","","1.5","","1.7","0.64","","","","","","","","","","","","","","","","","","","","","","","","","1062916",
"[20435]","SEAMOUNT","EASTER SEAMOUNT CHAIN - SALAS Y GOMEZ RIDGE / UNNAMED SEAMOUNT (EASTER SEAMOUNT CHAIN) / DREDGE 126 / PACIFIC OCEAN","","-25.368","-25.372","-91.749","-91.761","SUBAQUATIC","-2027","-2572","s DRFT-126-1 G [20435]","BASALT [20435]","","","","","","","","","VOLCANIC ROCK","","","","","VOLCANIC GLASS [20435] ","49.22","2.56","","14.98","","","","11.71","11.07","6.46","0.2","","0.51","2.92","0.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38.9","","","222","","","47","70","","107","","","","","","9.9","265","33.3","169","21","","","","","","","","","","","","0.14","95","14","32","4.5","21","5.4","1.8","6.1","0.99","5.7","1.17","3","0.4","2.8","0.42","4.1","1.24","","","","","","","","","0.788","","1.1","0.37","0.512937","","","0.70321","","19.446","","15.617","","39.172","","","","","","","","","","","","","","","1062917",
"[20435]","SEAMOUNT","EASTER SEAMOUNT CHAIN - SALAS Y GOMEZ RIDGE / UNNAMED SEAMOUNT (EASTER SEAMOUNT CHAIN) / DREDGE 127 / PACIFIC OCEAN","","-25.56","-25.569","-94.532","-94.537","SUBAQUATIC","-2449","-3221","s DRFT-127-1WR [20435]","BASALT [20435]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [20435] ","51.6","2.23","","17.62","","","","9.77","9.66","4.99","0.14","","0.76","2.97","0.32","","","","","","","","","","","","","","","","3.26","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.3","","","141","","","24","46","","131","","","","","","11.3","274","55.5","373","53","","","","","","","","","","","","0.7","206","37","75","9.7","40","8.9","2.5","9.7","1.56","8.8","1.85","4.9","0.7","4.7","0.71","9.5","3.07","","","","","","","","","2.1","","4","0.62","","","","","","","","","","","","","","","","","","","","","","","","","1062918",
"[20435]","SEAMOUNT","EASTER SEAMOUNT CHAIN - SALAS Y GOMEZ RIDGE / UNNAMED SEAMOUNT (EASTER SEAMOUNT CHAIN) / DREDGE 127 / PACIFIC OCEAN","","-25.56","-25.569","-94.532","-94.537","SUBAQUATIC","-2449","-3221","s DRFT-127-4 G [20435]","BASALT [20435]","","","","","","","","","VOLCANIC ROCK","","","","","VOLCANIC GLASS [20435] ","53.86","2.25","","15.63","","","","8.97","8.18","4.36","0.18","","1.63","3.67","0.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.3","","","92","","","27","50","","106","","","","","","35.3","249","54.2","428","56","","","","","","","","","","","","0.53","262","38","79","10","41","9.1","2.4","9.9","1.57","8.9","1.85","4.8","0.7","4.7","0.69","9.6","3.09","","","","","","","","","2.55","","4.1","1.34","0.512891","","","0.70333","","19.746","","15.637","","39.532","","","","","","","","","","","","","","","1062919",
"[20435]","SEAMOUNT","EASTER SEAMOUNT CHAIN - SALAS Y GOMEZ RIDGE / UNNAMED SEAMOUNT (EASTER SEAMOUNT CHAIN) / DREDGE 129 / PACIFIC OCEAN","","-25.919","-25.928","-97.087","-97.096","SUBAQUATIC","-2252","-2995","s DRFT-129-1 G [20435]","BASALT [20435]","","","","","","","","","VOLCANIC ROCK","","","","","VOLCANIC GLASS [20435] ","48.03","3.32","","15.53","","","","12.13","10.04","5.78","0.19","","0.96","3.28","0.46","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.7","","","94","","","30","40","","102","","","","","","8.1","425","28.7","197","34","","","","","","","","","","","","0.16","133","22","47","6.2","27","6.1","2","6.5","1","5.4","1.07","2.6","0.4","2.3","0.35","4.7","1.98","","","","","","","","","1.12","","2.1","0.53","0.51285","","","0.70361","","19.908","","15.646","","39.734","","","","","","","","","","","","","","","1062920",
"[20435]","SEAMOUNT","EASTER SEAMOUNT CHAIN - SALAS Y GOMEZ RIDGE / UNNAMED SEAMOUNT (EASTER SEAMOUNT CHAIN) / DREDGE 130 / PACIFIC OCEAN","","-25.457","-25.462","-98.186","-98.196","SUBAQUATIC","-2319","-2969","s DRFT-130-1 G [20435]","BASALT [20435]","","","","","","","","","VOLCANIC ROCK","","","","","VOLCANIC GLASS [20435] ","49.99","1.38","","16.19","","","","9.56","12.14","8.45","0.17","","0.09","2.56","0.11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34.8","","","339","","","46","131","","69","","","","","","0.5","149","24.9","75","4","","","","","","","","","","","","0.01","8","3","10","1.5","8","2.7","1","3.5","0.63","3.9","0.9","2.3","0.4","2.3","0.35","2","0.24","","","","","","","","","0.5","","0.2","0.06","","","","","","","","","","","","","","","","","","","","","","","","","1062921",
"[20435]","SEAMOUNT","EASTER SEAMOUNT CHAIN - SALAS Y GOMEZ RIDGE / UNNAMED SEAMOUNT (EASTER SEAMOUNT CHAIN) / DREDGE 130 / PACIFIC OCEAN","","-25.457","-25.462","-98.186","-98.196","SUBAQUATIC","-2319","-2969","s DRFT-130-4 G [20435]","BASALT [20435]","","","","","","","","","VOLCANIC ROCK","","","","","VOLCANIC GLASS [20435] ","50","1.69","","14.9","","","","10.48","12.52","7.42","0.21","","0.13","2.97","0.16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","49.7","","","286","","","51","62","","85","","","","","","1","172","34.7","115","5","","","","","","","","","","","","0.02","12","5","15","2.2","12","3.8","1.3","4.6","0.84","5.2","1.15","3.1","0.5","3","0.45","2.7","0.31","","","","","","","","","0.451","","0.2","0.08","0.513081","","","0.7027","","18.728","","15.508","","38.184","","","","","","","","","","","","","","","1062922",
