"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[1334]","SEAMOUNT","FIEBERLING-GUADALUPE SEAMOUNT TRAIL / GUADALUPE / PACIFIC OCEAN","","27.88","28.2","-118.23","-118.38","SUBAQUATIC","","","s D-3 [1334]","TRACHYTE [1334]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [1334] ","67.9","0.62","","16.4","","2.14","0.59","","1.09","0.57","0.15","","4.11","5.57","0.14","0.43","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45","1","","","13","4","2","","","","","","","104","185","","848","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","1447-D-3",
"[1334]","SEAMOUNT","FIEBERLING-GUADALUPE SEAMOUNT TRAIL / GUADALUPE / PACIFIC OCEAN","","27.88","28.2","-118.23","-118.38","SUBAQUATIC","","","s G-29 [1334]","SYENITE [1334]","","","","","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [1334] ","68.1","0.26","","17.3","","1.82","0.53","","0.17","0.002","0.07","","5.38","5.52","0.35","0.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","2","","","35","7","5","","","","","","","57","60","","478","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.70533","","","","","","","","","","","","","","","","","","","","","1447-G-29",
"[1334]","SEAMOUNT","FIEBERLING-GUADALUPE SEAMOUNT TRAIL / GUADALUPE / PACIFIC OCEAN","","27.88","28.2","-118.23","-118.38","SUBAQUATIC","","","s GS-44 [1334]","BASALT, ALKALINE [1334] / BASALT [1334]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [1334] ","47","2.82","","14.8","","3.66","8.91","","9.6","7.92","0.19","","1.92","3.27","0.45","0.33","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","215","240","","","68","290","27","","","","","","","24","700","","219","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.70327","","","","","","","","","","","","","","","","","","","","","1447-GS-44",
"[1333][6583][1214]","SEAMOUNT","FIEBERLING-GUADALUPE SEAMOUNT TRAIL / GUADALUPE / PACIFIC OCEAN","","27.88","28.2","-118.23","-118.38","SUBAQUATIC","","","s GU22 [1333]","BASALT, ALKALINE, LABRADORITE [1333] / BASALT, ALKALINE [6583]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [1333] ","","","","","","","","","","","","","1.3","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.04","","3.6","1","","","","","","20.038","","15.619","","40.019","","","","","","","","","","","","","","","1447-GU22",
"[1333][1214]","SEAMOUNT","FIEBERLING-GUADALUPE SEAMOUNT TRAIL / GUADALUPE / PACIFIC OCEAN","","27.88","28.2","-118.23","-118.38","SUBAQUATIC","","","s GU44 [1333]","BASALT, OLIVINE-LABRADORITE [1333] / BASALT, ALKALINE [1214]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [1333] ","","","","","","","","","","","","","0.65","2.25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.3","","1.83","0.51","","","","","","20.088","","15.615","","40.106","","","","","","","","","","","","","","","1447-GU44",
"[1333][94][1214]","SEAMOUNT","FIEBERLING-GUADALUPE SEAMOUNT TRAIL / GUADALUPE / PACIFIC OCEAN","","27.88","28.2","-118.23","-118.38","SUBAQUATIC","","","s GU77 [1333]","BASALT, ALKALINE, LABRADORITE-ANDESINE [1333] / BASALT [94] / BASALT, ALKALINE [1214]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [1333] ","","","","","","","","","","","","","1.93","4.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.39","","7.16","1.05","0.512942","","","0.70326","","20.303","","15.635","","40.263","","","","","","","","","","","","","","","1447-GU77",
"[1333]","SEAMOUNT","FIEBERLING-GUADALUPE SEAMOUNT TRAIL / GUADALUPE / PACIFIC OCEAN","","27.88","28.2","-118.23","-118.38","SUBAQUATIC","","","s GU52 [1333]","BASALT, ALKALINE, LABRADORITE-ANDESINE [1333]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [1333] ","","","","","","","","","","","","","1.65","4.08","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.58","","4.91","1.36","","","","","","20.278","","15.73","","40.55","","","","","","","","","","","","","","","32812",
"[2048]","SEAMOUNT","FIEBERLING-GUADALUPE SEAMOUNT TRAIL / GUADALUPE / PACIFIC OCEAN","","27.88","28.2","-118.23","-118.38","SUBAQUATIC","","","s 1 [2048]","BASALT, ALKALINE [2048]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [2048] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11","320","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.7035","","","","","","","","","","","","","","","","","","","","","34955",
"[2048]","SEAMOUNT","FIEBERLING-GUADALUPE SEAMOUNT TRAIL / GUADALUPE / PACIFIC OCEAN","","27.88","28.2","-118.23","-118.38","SUBAQUATIC","","","s 2 [2048]","BASALT, ALKALINE [2048]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [2048] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26","510","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.7034","","","","","","","","","","","","","","","","","","","","","34956",
"[2048]","SEAMOUNT","FIEBERLING-GUADALUPE SEAMOUNT TRAIL / GUADALUPE / PACIFIC OCEAN","","27.88","28.2","-118.23","-118.38","SUBAQUATIC","","","s 3 [2048]","BASALT, ALKALINE [2048]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [2048] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","60","680","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.7033","","","","","","","","","","","","","","","","","","","","","34957",
