"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[1135]","SEAMOUNT","HAWAIIAN-EMPEROR CHAIN / NECKER / PACIFIC OCEAN","","23.8","23.8","-164.42","-164.42","SUBAQUATIC","-475","-545","s 72HIG48-1 [1135]","RHYOLITE [1135]","","","","","","","","PORPHYRITIC [1135] ","VOLCANIC ROCK","","","FRESH","","WHOLE_ROCK [1135] ","75.7","0.24","","12.8","","","","0.51","1.06","0.26","0.02","","2.15","3.66","0.06","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10174",
"[1135]","SEAMOUNT","HAWAIIAN-EMPEROR CHAIN / WENTWORTH / PACIFIC OCEAN","","28.9","28.9","-177.87","-177.87","SUBAQUATIC","-1567","-1825","s STYX7-25D-1 [1135]","ANDESITE, BASALTIC [1135]","","","","","","","","","VOLCANIC ROCK","","","MODERATELY ALTERED","","WHOLE_ROCK [1135] ","","","","","","","","","","","","","3.47","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10175",
"[1135]","SEAMOUNT","HAWAIIAN-EMPEROR CHAIN / WENTWORTH / PACIFIC OCEAN","","28.9","28.9","-177.87","-177.87","SUBAQUATIC","-1567","-1825","s STYX7-25D-2 [1135]","BASALT [1135]","","","","","","","","HIGHLY VESICULAR, MEDIUM-GRAINED [1135] ","VOLCANIC ROCK","","","MODERATELY ALTERED","","WHOLE_ROCK [1135] ","","","","","","","","","","","","","1.591","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10176",
"[432]","SEAMOUNT","HAWAIIAN-EMPEROR CHAIN / SUIKO / SITE 433 / SHIELD STAGE / PACIFIC OCEAN","HOLE 433C","44.7772","44.7772","-170.0205","-170.0205","SUBAQUATIC","-1874","-1874","s 55-433C-10-4 [432]","THOLEIITE [432]","","","","","","","","VARIOLITIC VESICULAR [432] ","VOLCANIC ROCK","0.011","0.017","SLIGHTLY ALTERED","","WHOLE_ROCK [432] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","275","","121","","","","","","","200","","129","","","","","","","","","","","","","","174","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1228-10-4",
"[428][432]","SEAMOUNT","HAWAIIAN-EMPEROR CHAIN / SUIKO / SITE 433 / SHIELD STAGE / PACIFIC OCEAN","HOLE 433C","44.7772","44.7772","-170.0205","-170.0205","SUBAQUATIC","-1874","-1874","s 55-433C-40-2 [428]","THOLEIITE [428]","","","","","","","","INTERGRANULAR [432] ","VOLCANIC ROCK","0.088","0.096","","","WHOLE_ROCK [428] ","48.8","2.09","","13.4","0.08","","","11.8","9.5","13.1","0.15","","0.23","2.28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28","","","410","","","57","310","","111","","","","","","","235","","137","","","","","","","","","","","","","","98","8.46","22.1","","15.2","4.21","1.56","","0.76","","0.7","","","1.87","0.26","3.1","0.57","","","","","","","","","","","0.6","","","","","","","","","","","","","","","","","","","","","","","","","","1228-1228-433C-40-2",
"[421][432][343]","SEAMOUNT","HAWAIIAN-EMPEROR CHAIN / SUIKO / SITE 433 / SHIELD STAGE / PACIFIC OCEAN","HOLE 433C","44.7772","44.7772","-170.0205","-170.0205","SUBAQUATIC","-1874","-1874","s 55-433C-15-6 [421]","THOLEIITE [421]","","","","","","","","MASSIVE MICROPORPHYRITIC [421] / INTERGRANULAR [432] ","VOLCANIC ROCK","0.016","0.031","SLIGHTLY ALTERED","","WHOLE_ROCK [421] ","","","","","","","","","","","","","0.282","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","110","","","","56","","117","","","","","","1.6","305.4","","163","","","","","","","","","","","","","","95","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.70316","","","","","","","","","","","","","","","","","","","","","1228-433C-15-6",
"[428][432][343]","SEAMOUNT","HAWAIIAN-EMPEROR CHAIN / SUIKO / SITE 433 / SHIELD STAGE / PACIFIC OCEAN","HOLE 433C","44.7772","44.7772","-170.0205","-170.0205","SUBAQUATIC","-1874","-1874","s 55-433C-17-1 [428]","THOLEIITE [428]","","","","","","","","INTERGRANULAR, SUBTRACHYTIC [432] ","VOLCANIC ROCK","0.069","0.082","","","WHOLE_ROCK [428] ","50.3","2.41","","13.7","0.02","","","13.5","10.4","6.83","0.18","","0.31","2.82","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33","","","75","","","48","","","","","","","","","5.1","295.8","","","","","","","","","","","","","","","","","10.6","28.2","","17","5.04","2","","1.01","","1","","","2.36","0.31","4","0.8","","","","","","","","","","","0.9","","","","","0.70326","","","","","","","","","","","","","","","","","","","","","1228-433C-17-1",
"[428][432][343]","SEAMOUNT","HAWAIIAN-EMPEROR CHAIN / SUIKO / SITE 433 / SHIELD STAGE / PACIFIC OCEAN","HOLE 433C","44.7772","44.7772","-170.0205","-170.0205","SUBAQUATIC","-1874","-1874","s 55-433C-28-2 [428]","THOLEIITE [428]","","","","","","","","PILOTAXITIC [432] ","VOLCANIC ROCK","0.073","0.087","","","WHOLE_ROCK [428] ","48.5","2.53","","15","0.01","","","11.9","10.5","6.89","0.17","","0.18","2.87","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32","","","146","","","46","","","","","","","","","6.7","294","","","","","","","","","","","","","","","","","10.2","26.7","","17","5.11","1.97","","1.02","","1","","","2.42","0.33","3.9","0.71","","","","","","","","","","","0.85","","","","","0.70324","","","","","","","","","","","","","","","","","","","","","1228-433C-28-2",
"[421][432][343]","SEAMOUNT","HAWAIIAN-EMPEROR CHAIN / SUIKO / SITE 433 / SHIELD STAGE / PACIFIC OCEAN","HOLE 433C","44.7772","44.7772","-170.0205","-170.0205","SUBAQUATIC","-1874","-1874","s 55-433C-29-2 [421]","THOLEIITE [421]","","","","","","","","MASSIVE PORPHYRITIC [421] / PILOTAXITIC [432] ","VOLCANIC ROCK","0.094","0.1","SLIGHTLY ALTERED","","WHOLE_ROCK [421] ","","","","","","","","","","","","","0.985","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32","","","140","","","43","61","","128","","","","","","6.9","298.2","","194","","","","","","","","","","","","","","98","13.6","34.4","","22.6","6.63","2.49","","1.24","","1.1","","","2.97","0.4","4.8","0.99","","","","","","","","","","","0.9","","","","","0.70336","","","","","","","","","","","","","","","","","","","","","1228-433C-29-2",
"[421][432][343]","SEAMOUNT","HAWAIIAN-EMPEROR CHAIN / SUIKO / SITE 433 / SHIELD STAGE / PACIFIC OCEAN","HOLE 433C","44.7772","44.7772","-170.0205","-170.0205","SUBAQUATIC","-1874","-1874","s 55-433C-31-1 [421]","THOLEIITE [421]","","","","","","","","MASSIVE PORPHYRITIC [421] / PILOTAXITIC [432] ","VOLCANIC ROCK","0.007","0.013","SLIGHTLY ALTERED","","WHOLE_ROCK [421] ","","","","","","","","","","","","","0.45","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27","","","232","","","57","","","","","","","","","5.2","327.4","","","","","","","","","","","","","","","","","11.7","30.8","","20","5.62","2.19","","1.01","","1.1","","","2.48","0.33","4.4","0.89","","","","","","","","","","","0.9","","","","","0.70321","","","","","","","","","","","","","","","","","","","","","1228-433C-31-1",
"[432][7568]","SEAMOUNT","HAWAIIAN-EMPEROR CHAIN / SUIKO / SITE 433 / SHIELD STAGE / PACIFIC OCEAN","HOLE 433C","44.7772","44.7772","-170.0205","-170.0205","SUBAQUATIC","-1874","-1874","s 55-433C-13-2 [432]","THOLEIITE [432]","65000000 [7568]","65000000 [7568]","","","","","","","VOLCANIC ROCK","0.055","0.066","SLIGHTLY ALTERED","","WHOLE_ROCK [432] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33","","","224","","","46","89","","85","","","","","","","245","","140","","","","","","","","","","","","","","144","11.5","30","","16","4.27","1.68","","0.79","","0.9","","","1.9","0.28","3.4","0.8","","","","","","","","","","","1.1","","","","","","","","","","","","","","","","","","","0.283115","","","","","","","1228-55-433C-13-2, 55-56",
"[432][7568]","SEAMOUNT","HAWAIIAN-EMPEROR CHAIN / SUIKO / SITE 433 / SHIELD STAGE / PACIFIC OCEAN","HOLE 433C","44.7772","44.7772","-170.0205","-170.0205","SUBAQUATIC","-1874","-1874","s 55-433C-19-5 [432]","THOLEIITE [432]","65000000 [7568]","65000000 [7568]","","","","","","INTERGRANULAR [432] ","VOLCANIC ROCK","0.057","0.065","SLIGHTLY ALTERED","","WHOLE_ROCK [432] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31","","","250","","","45","101","","101","","","","","","","275","","127","","","","","","","","","","","","","","178","8.5","21.2","","14","4","1.6","","0.85","","1","","","2","0.29","3","0.6","","","","","","","","","","","0.6","","","","","","","","","","","","","","","","","","","0.283122","","","","","","","1228-55-433C-19-5, 57-65",
