"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[1473][138][137]","SEAMOUNT","HAWAIIAN ISLANDS / LOIHI / PACIFIC OCEAN","","18.95","18.95","-155.27","-155.27","SUBAQUATIC","","","s HW2-16 [1473] / s 78HW-2-16 [138]","THOLEIITE [1473]","","","","","","","","","VOLCANIC ROCK","","","","HE3_HE4(R/R(A)) from GLASS [137]","VOLCANIC GLASS [1473] / WHOLE_ROCK [138] / MINERAL / COMPONENT (INCL. GROUNDMASS) [137] ","","","","","","","","","","","","","","","","0.41","","","","","","","0.029","","","","","","","","","","","","","","","","","","","","","","","0.7","1.3","","","","","","","","","","","","","","","","","","","","","","","","","","","7.8","340","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.703446","","","","","","","","","","","","","","","","24.4","","","","","11-78HW-2-16",
"[588]","SEAMOUNT","HAWAIIAN ISLANDS / LOIHI / PACIFIC OCEAN","","18.95","18.95","-155.27","-155.27","SUBAQUATIC","","","s 16A [588]","BASALT [588]","","","","","","","","","VOLCANIC ROCK","","","FRESH","","VOLCANIC GLASS [588] ","50.1","2.1","","13.7","","","","11.1","11","7.91","0.17","","0.32","2.35","0.19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1300","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11857",
"[588]","SEAMOUNT","HAWAIIAN ISLANDS / LOIHI / PACIFIC OCEAN","","18.95","18.95","-155.27","-155.27","SUBAQUATIC","","","s 2C [588]","BASALT [588]","","","","","","","","","VOLCANIC ROCK","","","FRESH","","VOLCANIC GLASS [588] ","46.9","3.3","","14.5","","","","12.3","11","5.69","0.17","","0.8","1.97","0.36","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11858",
"[980]","SEAMOUNT","HAWAIIAN ISLANDS / LOIHI / SHIELD STAGE / PACIFIC OCEAN","","18.72","18.72","-155.19","-155.19","SUBAQUATIC","-5068","-5068","s 2335-1 [980]","PICRITE [980]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [980] ","44.85","1.84","","8.69","","","","12.13","8.65","20.14","0.17","","0.41","1.4","0.18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.1","","269.34","1632.22","1353.86","","111.05","989.78","172.74","102.53","","","","","","7.36","283.49","17.68","197.94","14.72","","","","","","","","","","","","","107.05","8.9","26.87","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12058",
"[980]","SEAMOUNT","HAWAIIAN ISLANDS / LOIHI / SHIELD STAGE / PACIFIC OCEAN","","18.72","18.72","-155.19","-155.19","SUBAQUATIC","-5068","-5068","s 2335-2 [980]","PICRITE [980]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [980] ","44.67","1.8","","8.38","","","","12.17","8.33","20.95","0.17","","0.38","1.33","0.18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.53","","255.26","1673.79","1334.99","","113.34","1017.27","181.35","99.76","","","","","","6.94","272","17.66","104.27","14.3","","","","","","","","","","","","","100.63","9.04","18.87","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12059",
"[980]","SEAMOUNT","HAWAIIAN ISLANDS / LOIHI / SHIELD STAGE / PACIFIC OCEAN","","18.72","18.72","-155.19","-155.19","SUBAQUATIC","-5057","-5057","s 2335-3 [980]","PICRITE [980]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [980] ","44.21","1.65","","7.72","","","","12.39","7.67","22.64","0.17","","0.35","1.29","0.16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.46","","238.91","1830.31","1372.6","","130.5","1137.81","158.99","101.75","","","","","","6.26","252.29","15.68","95.12","13.19","","","","","","","","","","","","","94.18","11.42","15.38","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12060",
"[980]","SEAMOUNT","HAWAIIAN ISLANDS / LOIHI / SHIELD STAGE / PACIFIC OCEAN","","18.72","18.72","-155.19","-155.19","SUBAQUATIC","-5025","-5025","s 2335-5 [980]","PICRITE [980]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [980] ","44.12","1.65","","7.76","","","","12.39","7.67","22.82","0.17","","0.36","1.29","0.17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.18","","236.91","1743.53","1351.54","","122.73","1151.74","156.03","102.48","","","","","","6.31","253.01","16.2","96.69","13.62","","","","","","","","","","","","","89.36","12.91","19.79","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12061",
"[980]","SEAMOUNT","HAWAIIAN ISLANDS / LOIHI / SHIELD STAGE / PACIFIC OCEAN","","18.72","18.72","-155.19","-155.19","SUBAQUATIC","-4983","-4983","s 2335-6 [980]","PICRITE [980]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [980] ","44.02","1.6","","7.52","","","","12.36","7.57","23.26","0.17","","0.34","1.22","0.16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.38","","229.68","1771.92","1384.36","","118.7","1151.43","143.68","101.23","","","","","","6.44","247.11","15.5","94.2","12.98","","","","","","","","","","","","","93.77","10.84","14.93","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12062",
"[980]","SEAMOUNT","HAWAIIAN ISLANDS / LOIHI / SHIELD STAGE / PACIFIC OCEAN","","18.72","18.72","-155.19","-155.19","SUBAQUATIC","-4979","-4979","s 2335-7 [980]","PICRITE [980]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [980] ","43.84","1.58","","7.55","","","","12.52","7.46","23.56","0.17","","0.33","1.18","0.15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.79","","230.23","1848.19","1358.56","","122.51","1205.67","153.77","101.84","","","","","","6.06","244.67","15.79","92.14","12.88","","","","","","","","","","","","","89.3","12.39","15.82","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12063",
"[980]","SEAMOUNT","HAWAIIAN ISLANDS / LOIHI / SHIELD STAGE / PACIFIC OCEAN","","18.72","18.72","-155.19","-155.19","SUBAQUATIC","-4976","-4976","s 2335-8 [980]","PICRITE [980]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [980] ","43.96","1.63","","7.61","","","","12.36","7.8","22.83","0.17","","0.35","1.21","0.16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.16","","234.12","1757.21","1363","","120.04","1136.41","149.81","99.26","","","","","","6.66","250.54","15.86","94.42","13.09","","","","","","","","","","","","","91.01","8.53","11.89","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12064",
"[980]","SEAMOUNT","HAWAIIAN ISLANDS / LOIHI / SHIELD STAGE / PACIFIC OCEAN","","18.72","18.72","-155.19","-155.19","SUBAQUATIC","-4977","-4977","s 2335-9 [980]","PICRITE [980]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [980] ","44.01","1.63","","7.63","","","","12.37","7.72","22.92","0.17","","0.35","1.27","0.16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.01","","233.71","1874.25","1382.74","","124.79","1151.77","148.17","102.07","","","","","","6.52","251.83","15.49","94.87","13.03","","","","","","","","","","","","","91.73","9.81","18.37","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12065",
