"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[4658]","SEAMOUNT","IZU-BONIN ARC / KAITOKU / DREDGE D77 / PACIFIC OCEAN","","25.1","25.1","141.5","142","SUBAQUATIC","-800","-975","s 77-6 [4658]","ANDESITE [4658]","","","","","","","","","VOLCANIC ROCK","","","FRESH","","WHOLE_ROCK [4658] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28","","249","1","","","26","4","65","","17","","","","","13.4","267","34.7","94.6","1.42","","","","","","","","","","","","0.48","229","6.53","14.4","2.56","12.8","3.73","1.28","5.14","0.93","5.42","1.17","3.43","0.55","3.27","0.54","2.83","0.1","","","","","","","","","3.08","","0.76","0.49","","","","","","","","","","","","","","","","","","","","","","","","","104830",
"[2332]","SEAMOUNT","IZU-BONIN ARC / TORISHIMA / SITE 783 / PACIFIC OCEAN","HOLE 783A, TORISHIMA FORE-ARC","30.19643","30.19643","141.7878","141.7878","SUBAQUATIC","-4660","-4660","s 125-783A18R-1 [2332]","HARZBURGITE, SPINEL [2332]","","","","","","","","","MANTLE XENOLITH","","","","","WHOLE_ROCK [2332] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.003996","","","","","","","","","","","","","","","","","","","","","","","","0.127185","","","","","","","","","","10587-783A 18R-1",
"[5034]","SEAMOUNT","IZU-BONIN ARC / MANJI / PACIFIC OCEAN","","31.83","31.92","138.92","139","SUBAQUATIC","","","s #884-1 [5034]","ANDESITE, BASALTIC [5034]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [5034] ","52.87","1.34","","18.71","","","","7.71","9.22","3.2","0.14","","1.17","3.5","0.36","","","","","","","","","","","","","","","","1.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","34.2","","352","19","","","28.3","13","91","114","","","","","","21","447","33","103","4","","","","","","","","","","","","0.4","137","10.9","24.6","","","4.84","1.73","","0.94","","","","","3.3","0.47","2.44","0.38","","","","","","","","","","","1.26","","","","","","","","","","","","","","","","","","","","","","","","","","114578",
"[5034]","SEAMOUNT","IZU-BONIN ARC / MANJI / PACIFIC OCEAN","","31.83","31.92","138.92","139","SUBAQUATIC","","","s D8-5 [5034]","DACITE [5034]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [5034] ","67.28","0.51","","15.9","","","","2.94","1.86","0.99","0.31","","2.42","5.47","0.14","","","","","","","","","","","","","","","","1.23","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.1","","49","4","","","7.62","8","12","48","","","","","","24","184","26","167","6","","","","","","","","","","","","","242","9.19","22.9","","","2.85","0.86","","0.69","","","","","2.5","0.31","3.84","0.3","","","","","","","","","","","1.9","","","","","","","","","","","","","","","","","","","","","","","","","","114579",
"[5034]","SEAMOUNT","IZU-BONIN ARC / MANJI / PACIFIC OCEAN","","31.83","31.92","138.92","139","SUBAQUATIC","","","s D8-6 [5034]","DACITE [5034]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [5034] ","68.91","0.49","","14.91","","","","2.95","2.7","1.01","0.59","","1.63","4.66","0.12","","","","","","","","","","","","","","","","1.41","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.95","","41","11","","","10.2","20","11","68","","","","","","14","244","23","153","5","","","","","","","","","","","","","300","8.56","19.8","","","2.38","0.77","","0.45","","","","","2.2","0.27","3.39","0.27","","","","","","","","","","","1.71","","","","","","","","","","","","","","","","","","","","","","","","","","114580",
"[5034]","SEAMOUNT","IZU-BONIN ARC / MANJI / PACIFIC OCEAN","","31.83","31.92","138.92","139","SUBAQUATIC","","","s D8-7 [5034]","DACITE [5034]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [5034] ","70.97","0.5","","14.77","","","","2.52","2.6","0.32","0.08","","2.05","4.54","0.12","","","","","","","","","","","","","","","","0.97","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.92","","52","15","","","2.35","3","10","38","","","","","","17","208","23","146","4","","","","","","","","","","","","0.1","229","9.01","19.2","","","2.39","0.77","","0.47","","","","","2.4","0.28","3.2","0.25","","","","","","","","","","","1.57","","","","","","","","","","","","","","","","","","","","","","","","","","114581",
"[5034]","SEAMOUNT","IZU-BONIN ARC / MANJI / PACIFIC OCEAN","","31.83","31.92","138.92","139","SUBAQUATIC","","","s D9-1 [5034]","DACITE [5034]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [5034] ","61.88","0.75","","15.88","","","","4.74","3.39","3.33","0.15","","3.09","2.92","0.18","","","","","","","","","","","","","","","","3.25","","","","","","","","","","","","","","","","","","","","","","","","","","","","15","","111","7","","","9.99","14","19","74","","","","","","41","198","40","192","7","","","","","","","","","","","","","243","15","34.5","","","5.14","1.55","","1.2","","","","","4.2","0.58","5.01","0.41","","","","","","","","","","","3.09","","","","","","","","","","","","","","","","","","","","","","","","","","114582",
"[5034]","SEAMOUNT","IZU-BONIN ARC / MANJI / PACIFIC OCEAN","","31.83","31.92","138.92","139","SUBAQUATIC","","","s D9-2 [5034]","DACITE [5034]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [5034] ","62.69","0.75","","16.06","","","","4.7","3.29","3.03","0.18","","2.79","3.16","0.18","","","","","","","","","","","","","","","","2.45","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.19","","94","10","","","4.91","29","16","70","","","","","","39","223","38","192","6","","","","","","","","","","","","0.1","215","7.13","15.3","","","2.5","0.73","","0.54","","","","","2.4","0.27","2.78","0.23","","","","","","","","","","","1.71","","","","","","","","","","","","","","","","","","","","","","","","","","114583",
"[5034]","SEAMOUNT","IZU-BONIN ARC / MANJI / PACIFIC OCEAN","","31.83","31.92","138.92","139","SUBAQUATIC","","","s D9-7 [5034]","DACITE [5034]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [5034] ","61.59","0.74","","16.75","","","","4.68","3.33","3.07","0.1","","2.97","3.81","0.18","","","","","","","","","","","","","","","","2.36","","","","","","","","","","","","","","","","","","","","","","","","","","","","12","","93","7","","","8.44","22","26","64","","","","","","41","226","38","204","7","","","","","","","","","","","","","210","12","26.3","","","4.26","1.2","","0.97","","","","","3.7","0.47","4.34","0.36","","","","","","","","","","","2.72","","","","","","","","","","","","","","","","","","","","","","","","","","114584",
"[5034]","SEAMOUNT","IZU-BONIN ARC / MANJI / PACIFIC OCEAN","","31.83","31.92","138.92","139","SUBAQUATIC","","","s D9-9 [5034]","DACITE [5034]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [5034] ","64.41","0.68","","15.66","","","","4.15","3.09","2.77","0.28","","2.71","3.58","0.16","","","","","","","","","","","","","","","","1.97","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.6","","95","4","","","13","70","13","62","","","","","","38","248","36","189","6","","","","","","","","","","","","0.2","215","17.8","36.8","","","6.04","1.63","","1.1","","","","","5.1","0.57","5.4","0.46","","","","","","","","","","","3.36","","","","","","","","","","","","","","","","","","","","","","","","","","114585",
