"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[20511]","SEAMOUNT","KERMADEC ARC / RUMBLE II / PACIFIC OCEAN","RUMBLE II EAST, SMALL CONE ON WESTERN FLANK","-35.421","-35.421","178.628","178.628","SUBAQUATIC","-1380","-1545","s TAN1007-51-01 [20511]","BASALT [20511]","","","","","","","","","VOLCANIC ROCK","","","FRESH","","WHOLE_ROCK [20511] ","51.57","0.59","","14.47","","","","8.72","11.65","8.16","0.17","","0.23","1.55","0.04","","","","","","","","","","","","","","","","1.14","","","","","","","","","","","","","","4.8","","","","","","","","","","","","","","48.9","","290","282","","","40.1","65.2","87.1","71","12.6","","","","","2.91","134","14.9","25","0.2","0.79","","","","","","","0.35","0.09","","","0.13","119","1.05","3.06","0.59","3.32","1.34","0.55","1.95","0.35","2.54","0.56","1.73","0.25","1.71","0.25","0.88","","","","","","","","","0.021","1","","0.097","0.05","0.513091","","","0.704004","","18.737","","15.572","","38.518","","","","","","","","","","","","","","","1090008",
"[20511]","SEAMOUNT","KERMADEC ARC / RUMBLE II / PACIFIC OCEAN","RUMBLE II EAST, SW CONE SUMMIT","-35.439","-35.439","178.625","178.625","SUBAQUATIC","-1282","-1363","s TAN1007-64-01 [20511]","BASALT, CLINOPYROXENE-OLIVINE [20511]","","","","","","","","","VOLCANIC ROCK","","","FRESH","","WHOLE_ROCK [20511] ","49.91","0.44","","9.1","","","","8.49","13.4","15.63","0.16","","0.22","0.82","0.05","","","","","","","","","","","","","","","","0.43","","","","","","","","","","","","","","2.8","","","","","","","","","","","","","","51.8","","268","1012","","","55.3","223","70.8","53","8.54","","","","","3","183","8.52","17","0.26","0.41","","","","","","","0.25","0.08","","","0.1","93.3","2.2","4.95","0.77","3.6","1.14","0.41","1.38","0.23","1.56","0.33","0.98","0.14","0.9","0.14","0.58","","","","","","","","","0.018","0.9","","0.345","0.12","0.512943","","","0.703928","","18.828","","15.591","","38.612","","","","","","","","","","","","","","","1090009",
"[20511]","SEAMOUNT","KERMADEC ARC / RUMBLE II / PACIFIC OCEAN","RUMBLE II EAST, NORTHERN FLANK","-35.415","-35.415","178.651","178.651","SUBAQUATIC","-1050","-1122","s TAN1007-97-01 [20511]","BASALT [20511]","","","","","","","","","VOLCANIC ROCK","","","FRESH","","WHOLE_ROCK [20511] ","51.68","0.73","","17.37","","","","9.44","10.78","4.57","0.17","","0.19","1.82","0.09","","","","","","","","","","","","","","","","1.78","","","","","","","","","","","","","","10.8","","","","","","","","","","","","","","43.4","","329","31","","","32.3","19.3","130","79","14.9","","","","","3.72","177","16.8","37","0.44","0.64","","","","","","","0.46","0.18","","","0.15","138","2.05","5.7","0.95","5.22","1.77","0.69","2.4","0.45","3.1","0.68","2.03","0.29","1.93","0.29","1.26","","","","","","","","","0.044","1.5","","0.29","0.35","0.512983","","","0.704062","","18.826","","15.59","","38.644","","","","","","","","","","","","","","","1090010",
"[20511]","SEAMOUNT","KERMADEC ARC / RUMBLE II / PACIFIC OCEAN","RUMBLE II EAST, SUMMIT CRATER","-35.424","-35.424","178.649","178.649","SUBAQUATIC","-1122","-1133","s TAN1007-98-01 [20511]","GABBRO [20511]","","","","","","","","","PLUTONIC ROCK","","","FRESH","","WHOLE_ROCK [20511] ","41.01","1.37","","18.35","","","","16.41","13.27","6.44","0.17","","0.05","0.67","0.01","","","","","","","","","","","","","","","","-0.11","","","","","","","","","","","","","","1.9","","","","","","","","","","","","","","46.1","","","47","","","59.9","54.3","190","88","17.4","","","","","0.67","145","4.34","7","0.07","0.2","","","","","","","0.19","0.07","","","0.039","26.7","0.4","1","0.18","1.04","0.36","0.24","0.58","0.11","0.76","0.17","0.54","0.08","0.51","0.08","0.23","","","","","","","","","0.017","0.3","","0.034","0.02","0.513002","","","0.704073","","18.867","","15.595","","38.651","","","","","","","","","","","","","","","1090011",
"[20511]","SEAMOUNT","KERMADEC ARC / RUMBLE II / PACIFIC OCEAN","RUMBLE II EAST, SUMMIT CRATER","-35.424","-35.424","178.649","178.649","SUBAQUATIC","-1122","-1133","s TAN1007-98-03 [20511]","BASALT [20511]","","","","","","","","","VOLCANIC ROCK","","","FRESH","","WHOLE_ROCK [20511] ","54.01","0.6","","14.66","","","","8.13","11.54","7.17","0.17","","0.48","1.59","0.09","","","","","","","","","","","","","","","","1.1","","","","","","","","","","","","","","5.2","","","","","","","","","","","","","","44.6","","267","204","","","35.9","52.1","74.3","67","12.9","","","","","8.46","176","14.2","31","0.43","0.79","","","","","","","0.38","0.13","","","0.31","167","3.4","7.8","1.2","5.9","1.78","0.63","2.23","0.38","2.52","0.55","1.63","0.24","1.58","0.24","1.03","","","","","","","","","0.05","1.5","","0.58","0.17","0.512894","","","0.704053","","18.882","","15.614","","38.703","","","","","","","","","","","","","","","1090012",
"[20511]","SEAMOUNT","KERMADEC ARC / RUMBLE II / PACIFIC OCEAN","RUMBLE II EAST, SOUTHERN CRATER RIM","-35.427","-35.427","178.654","178.654","SUBAQUATIC","-1018","-1135","s TAN1007-99-01 [20511]","ANDESITE, BASALTIC [20511]","","","","","","","","","VOLCANIC ROCK","","","FRESH","","WHOLE_ROCK [20511] ","53.97","0.62","","15.8","","","","7.89","11.16","6.83","0.16","","0.23","1.75","0.05","","","","","","","","","","","","","","","","0.69","","","","","","","","","","","","","","5.9","","","","","","","","","","","","","","45.8","","269","155","","","33.8","47.9","110","74","13.9","","","","","3.28","139","16","29","0.27","0.59","","","","","","","0.36","0.12","","","0.18","147","1.22","3.55","0.67","3.84","1.49","0.59","2.15","0.4","2.78","0.6","1.82","0.28","1.81","0.27","0.98","","","","","","","","","0.023","1.1","","0.13","0.06","0.513086","","","0.703977","","18.745","","15.579","","38.537","","","","","","","","","","","","","","","1090013",
"[20511]","SEAMOUNT","KERMADEC ARC / RUMBLE II / PACIFIC OCEAN","RUMBLE II EAST, BETWEEN CONES","-35.435","-35.435","178.63","178.63","SUBAQUATIC","-1402","-1530","s TAN1007-100-01 [20511]","CLINOPYROXENITE, OLIVINE [20511]","","","","","","","","","PLUTONIC ROCK","","","FRESH","","WHOLE_ROCK [20511] ","54.03","0.13","","1.57","","","","4.8","19.9","19.21","0.13","","0.07","0.11","0","","","","","","","","","","","","","","","","0.78","","","","","","","","","","","","","","0.9","","","","","","","","","","","","","","0","","145","1754","","","46.6","197","8.2","21","1.88","","","","","0.59","27.5","3.06","0","0","0.31","","","","","","","0","0.08","","","0.021","8.4","0.54","1.29","0.24","1.18","0.38","0.14","0.54","0.09","0.6","0.12","0.33","0.05","0.29","0.04","0","","","","","","","","","0","0.3","","0.091","0.02","0.512632","","","0.705168","","20.081","","15.763","","40.219","","","","","","","","","","","","","","","1090014",
"[20511]","SEAMOUNT","KERMADEC ARC / RUMBLE II / PACIFIC OCEAN","RUMBLE II EAST, BETWEEN CONES","-35.435","-35.435","178.63","178.63","SUBAQUATIC","-1402","-1530","s TAN1007-100-02 [20511]","BASALT, CLINOPYROXENE-OLIVINE [20511]","","","","","","","","","VOLCANIC ROCK","","","FRESH","","WHOLE_ROCK [20511] ","50.67","0.45","","8.77","","","","7.93","13.79","15.35","0.16","","0.21","0.82","0.04","","","","","","","","","","","","","","","","0.7","","","","","","","","","","","","","","2.7","","","","","","","","","","","","","","50.6","","262","1136","","","52.5","210","55.8","52","8.17","","","","","3.03","175","8.23","17","0.28","0.41","","","","","","","0.26","0.06","","","0.09","92","2.12","4.9","0.75","3.69","1.09","0.39","1.3","0.22","1.49","0.31","0.93","0.14","0.86","0.14","0.56","","","","","","","","","0.02","0.8","","0.3","0.1","0.512922","","","0.703936","","18.822","","15.589","","38.603","","","","","","","","","","","","","","","1090015",
"[20511]","SEAMOUNT","KERMADEC ARC / RUMBLE II / PACIFIC OCEAN","RUMBLE II EAST, SOUTHERN CRATER RIM","-35.427","-35.427","178.655","178.655","SUBAQUATIC","-1028","-1082","s TAN1007-101-01 [20511]","ANDESITE, BASALTIC [20511]","","","","","","","","","VOLCANIC ROCK","","","FRESH","","WHOLE_ROCK [20511] ","57.09","0.58","","15.56","","","","7.53","9.93","5.43","0.15","","0.22","1.85","0.07","","","","","","","","","","","","","","","","0.4","","","","","","","","","","","","","","5.4","","","","","","","","","","","","","","38.1","","258","79","","","30","35.1","47.1","64","13.8","","","","","2.05","140","16.1","28","0.27","0.43","","","","","","","0.35","0.19","","","0.039","145","1.48","3.9","0.71","4","1.52","0.61","2.12","0.39","2.73","0.6","1.81","0.27","1.78","0.27","1.01","","","","","","","","","0.019","1.3","","0.17","0.28","0.512914","","","0.704065","","18.948","","15.606","","38.751","","","","","","","","","","","","","","","1090016",
"[20511]","SEAMOUNT","KERMADEC ARC / RUMBLE II / PACIFIC OCEAN","RUMBLE II WEST, SW CALDERA","-35.36","-35.36","178.509","178.509","SUBAQUATIC","-1150","-1400","s TAN1104-ES11A [20511]","ANDESITE, BASALTIC [20511]","","","","","","","","","VOLCANIC ROCK","","","FRESH","","WHOLE_ROCK [20511] ","53.2","0.91","","16.5","","","","8.91","9.75","5.07","0.17","","0.21","2.91","0.1","","","","","","","","","","","","","","","","0.27","","","","","","","","","","","","","","4.7","","","","","","","","","","","","","","35.7","","249","250","","","33","29.6","404","75.8","15.9","","","","","3.21","235","19.3","75.1","1.76","5.54","","","","","","","0.85","0.58","","","0.15","103","3.6","9.9","1.53","7.6","2.49","0.95","3.16","0.51","3.5","0.76","2.15","0.33","1.57","0.34","1.7","","","","","","","","","0.029","6.95","","0.42","0.15","0.513061","","","0.703202","","18.675","","15.565","","38.403","","","","","","","","","","","","","","","1090017",
