"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[6438]","SEAMOUNT","KYUSHU-PALAU RIDGE / KOMAHASHI-DAINI / PHILIPPINE SEA / PACIFIC OCEAN","","29.75","30.17","133.17","133.42","SUBAQUATIC","","","s D05-103 [6438]","TONALITE, HORNBLENDE [6438]","37000000 [6438]","38000000 [6438]","","","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [6438] ","63.16","0.65","","16.01","","6.94","","","6.34","3.05","0.12","","0.23","4.07","0.13","","","0.21","","","","","","","","","","","","","0.54","","","","","","","","","","","","","","","0.57","","","","","","","","","","","","","","","","1","","","10","5.6","","","","","","","","0.7","231.4","26.44","96.37","1.18","","","","","","","","2.06","","","","","54.19","5.04","13.15","2.13","10.93","3.17","0.97","3.8","0.73","4.95","1.04","2.87","0.47","3.3","0.5","2.97","0.09","","","","","","","","","8.83","","0.65","0.31","0.513043","","","0.703599","","","","","","","","","","","","","","","","","","","","","146721",
"[6438]","SEAMOUNT","KYUSHU-PALAU RIDGE / KOMAHASHI-DAINI / PHILIPPINE SEA / PACIFIC OCEAN","","29.75","30.17","133.17","133.42","SUBAQUATIC","","","s D05-114 [6438]","TONALITE, HORNBLENDE [6438]","37000000 [6438]","38000000 [6438]","","","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [6438] ","57.84","0.64","","16.5","","7.4","","","8.5","5.75","0.12","","0.22","3.51","0.12","","","0","","","","","","","","","","","","","1.35","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","69.3","","","20.9","19.6","","","","","","","","0.6","204.4","21.3","65.6","0.2","","","","","","","","","","","","","28.8","","","","","","","","","","","","","","","","","","","","","","","","","1.6","","0.4","","","","","","","","","","","","","","","","","","","","","","","","","","146722",
"[6438]","SEAMOUNT","KYUSHU-PALAU RIDGE / KOMAHASHI-DAINI / PHILIPPINE SEA / PACIFIC OCEAN","","29.75","30.17","133.17","133.42","SUBAQUATIC","","","s D05-121 [6438]","TONALITE, HORNBLENDE [6438]","37000000 [6438]","38000000 [6438]","","","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [6438] ","59.1","0.71","","16.47","","8.07","","","7.99","4.08","0.15","","0.2","3.43","0.12","","","0.12","","","","","","","","","","","","","0.7","","","","","","","","","","","","","","","0.38","","","","","","","","","","","","","","","","34.1","","","13.3","17.1","","","","","","","","0.5","239.4","20.6","65.83","0.86","","","","","","","","0.71","","","","","40.85","3.54","9.23","1.54","8.08","2.46","0.87","2.96","0.55","3.82","0.82","2.3","0.37","2.61","0.39","1.94","0.06","","","","","","","","","1.04","","0.45","0.25","","","","0.703605","","","","","","","","","","","","","","","","","","","","","146723",
"[6438]","SEAMOUNT","KYUSHU-PALAU RIDGE / KOMAHASHI-DAINI / PHILIPPINE SEA / PACIFIC OCEAN","","29.75","30.17","133.17","133.42","SUBAQUATIC","","","s D05-126 [6438]","TONALITE, HORNBLENDE [6438]","37000000 [6438]","38000000 [6438]","","","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [6438] ","72.18","0.49","","13.84","","3.46","","","3.92","1.03","0.06","","0.21","4.4","0.08","","","0.06","","","","","","","","","","","","","0.49","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.8","","","3.5","8.8","","","","","","","","1","227.3","32.4","126.7","1.4","","","","","","","","","","","","","73.1","","","","","","","","","","","","","","","","","","","","","","","","","0.5","","1","","0.513052","","","0.703692","","","","","","","","","","","","","","","","","","","","","146724",
"[6438]","SEAMOUNT","KYUSHU-PALAU RIDGE / KOMAHASHI-DAINI / PHILIPPINE SEA / PACIFIC OCEAN","","29.75","30.17","133.17","133.42","SUBAQUATIC","","","s D05-129 [6438]","TONALITE, HORNBLENDE [6438]","37000000 [6438]","38000000 [6438]","","","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [6438] ","62.49","0.84","","15.04","","8.44","","","5.36","2.68","0.11","","0.48","4.16","0.14","","","0.3","","","","","","","","","","","","","0.87","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.8","","","15.8","9.1","","","","","","","","5.1","260.8","33.2","64.5","1.2","","","","","","","","","","","","","67.5","","","","","","","","","","","","","","","","","","","","","","","","","1.4","","0.4","","0.513043","","","0.703902","","","","","","","","","","","","","","","","","","","","","146725",
"[6438]","SEAMOUNT","KYUSHU-PALAU RIDGE / KOMAHASHI-DAINI / PHILIPPINE SEA / PACIFIC OCEAN","","29.75","30.17","133.17","133.42","SUBAQUATIC","","","s D05-136 [6438]","TONALITE, HORNBLENDE [6438]","37000000 [6438]","38000000 [6438]","","","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [6438] ","73.69","0.49","","12.69","","4.03","","","2.55","0.8","0.04","","0.28","4.6","0.08","","","0.12","","","","","","","","","","","","","0.77","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.8","2.5","","","","","","","","1.2","182","21.4","115.3","1","","","","","","","","","","","","","70.6","","","","","","","","","","","","","","","","","","","","","","","","","0.9","","1.3","","","","","","","","","","","","","","","","","","","","","","","","","","146726",
"[6438]","SEAMOUNT","KYUSHU-PALAU RIDGE / KOMAHASHI-DAINI / PHILIPPINE SEA / PACIFIC OCEAN","","29.75","30.17","133.17","133.42","SUBAQUATIC","","","s D05-137 [6438]","TONALITE, HORNBLENDE [6438]","37000000 [6438]","38000000 [6438]","","","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [6438] ","61.9","0.77","","16.28","","7.25","","","6.21","2.78","0.11","","0.37","4.31","0.1","","","0.2","","","","","","","","","","","","","0.86","","","","","","","","","","","","","","","0.54","","","","","","","","","","","","","","","","2.1","","","13.5","9.3","","","","","","","","1.3","276.4","23.89","100.7","1.23","","","","","","","","1.5","","","","","54.76","5.52","13.56","2.17","10.45","3.03","0.86","3.51","0.66","4.41","0.92","2.63","0.44","3.01","0.47","3.16","0.12","","","","","","","","","1.66","","0.8","0.39","","","","","","","","","","","","","","","","","","","","","","","","","146727",
"[6438]","SEAMOUNT","KYUSHU-PALAU RIDGE / KOMAHASHI-DAINI / PHILIPPINE SEA / PACIFIC OCEAN","","29.75","30.17","133.17","133.42","SUBAQUATIC","","","s D05-148 [6438]","TONALITE, HORNBLENDE [6438]","37000000 [6438]","38000000 [6438]","","","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [6438] ","73.59","0.45","","13.64","","3.3","","","2.98","0.91","0.08","","1.26","3.94","0.07","","","0.2","","","","","","","","","","","","","0.52","","","","","","","","","","","","","","","0.63","","","","","","","","","","","","","","","","","","","","2.2","","","","","","","","12","175","30.28","135.7","1.71","","","","","","","","1.08","","","","","179","5.77","14.74","2.41","11.68","3.55","0.93","4.14","0.79","5.29","1.16","3.26","0.54","3.79","0.59","3.98","0.15","","","","","","","","","11.43","","0.73","0.45","0.513046","","","0.703683","","","","","","","","","","","","","","","","","","","","","146728",
"[6438]","SEAMOUNT","KYUSHU-PALAU RIDGE / KOMAHASHI-DAINI / PHILIPPINE SEA / PACIFIC OCEAN","","29.75","30.17","133.17","133.42","SUBAQUATIC","","","s D05-173 [6438]","TONALITE, HORNBLENDE [6438]","37000000 [6438]","38000000 [6438]","","","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [6438] ","55.9","0.72","","16.79","","10.75","","","6.35","6.34","0.15","","0.26","2.58","0.09","","","0.17","","","","","","","","","","","","","2.29","","","","","","","","","","","","","","","0.35","","","","","","","","","","","","","","","","66.3","","","40.2","22.7","","","","","","","","0.9","189.4","19.43","79.34","0.86","","","","","","","","0.87","","","","","17.05","3.65","9.47","1.56","7.49","2.21","0.77","2.68","0.51","3.53","0.76","2.14","0.35","2.34","0.36","2.16","0.06","","","","","","","","","2.66","","0.36","0.34","0.513058","","","0.703868","","","","","","","","","","","","","","","","","","","","","146729",
"[6438]","SEAMOUNT","KYUSHU-PALAU RIDGE / KOMAHASHI-DAINI / PHILIPPINE SEA / PACIFIC OCEAN","","29.75","30.17","133.17","133.42","SUBAQUATIC","","","s D05-176 [6438]","TONALITE, HORNBLENDE [6438]","37000000 [6438]","38000000 [6438]","","","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [6438] ","72.29","0.52","","13.75","","3.8","","","3.37","1.09","0.06","","0.6","4.13","0.08","","","0.09","","","","","","","","","","","","","0.51","","","","","","","","","","","","","","","0.63","","","","","","","","","","","","","","","","","","","3.1","2.6","","","","","","","","5.1","192.4","35.7","193.8","1.8","","","","","","","","1.24","","","","","205","6.08","15.92","2.58","12.97","3.78","0.94","4.46","0.84","5.84","1.26","3.69","0.59","4.09","0.65","4.25","0.15","","","","","","","","","2.05","","0.72","0.45","0.513054","","","0.703628","","","","","","","","","","","","","","","","","","","","","146730",
