"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[2449]","SEAMOUNT","LINE ISLANDS CHAIN / UNNAMED SEAMOUNT (LINE ISLANDS CHAIN) / SITE 315 / PACIFIC OCEAN","HOLE 315A","4.1712","4.1712","-158.525","-158.525","SUBAQUATIC","-4164","-4164","s 33-315A-32-4,53-55 [2449]","BASALT, TRANSITIONAL [2449]","","","","","","","","DIABASIC TO INTERSERTAL [2449] ","VOLCANIC ROCK","","","MODERATELY ALTERED","","WHOLE_ROCK [2449] ","","","","","","","","","","","","","0.242","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10015-32-4, 53-55",
"[2449]","SEAMOUNT","LINE ISLANDS CHAIN / UNNAMED SEAMOUNT (LINE ISLANDS CHAIN) / SITE 315 / PACIFIC OCEAN","HOLE 315A","4.1712","4.1712","-158.525","-158.525","SUBAQUATIC","-4164","-4164","s 33-315A-34-1,99-101 [2449]","BASALT, TRANSITIONAL [2449]","","","","","","","","DIABASIC TO INTERSERTAL [2449] ","VOLCANIC ROCK","","","MODERATELY ALTERED","","WHOLE_ROCK [2449] ","","","","","","","","","","","","","0.198","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10015-34-1, 99-101",
"[6181]","SEAMOUNT","LINE ISLANDS CHAIN / UNNAMED SEAMOUNT (LINE ISLANDS CHAIN) / DREDGE 69 / PACIFIC OCEAN","","20.1317","20.1317","-170.6933","-170.6933","SUBAQUATIC","-1490","-1490","s SO33-D69-1 [6181]","MUGEARITE [6181]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [6181] ","52.3","2.09","","18.8","","","","7.45","7.36","2.47","0.22","","2.79","4.45","1.24","","","","","","","","","","","","","","","","1.97","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.17","","","","","","","","","","","","","","","46.4","1630","58","480","102","","","","","","","","","","","","","916","86.4","171","","74","13.3","3.99","11.1","1.55","","","","","3.65","0.49","10.4","7.45","","","","","","","","","","","10.5","","","","","","","","","","","","","","","","","","","","","","","","","","140149",
"[6181]","SEAMOUNT","LINE ISLANDS CHAIN / UNNAMED SEAMOUNT (LINE ISLANDS CHAIN) / DREDGE 71 / PACIFIC OCEAN","","20.2233","20.2233","-170.6217","-170.6217","SUBAQUATIC","-1740","-2220","s SO33-D71-9 [6181]","BENMOREITE [6181]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [6181] ","57.5","1.31","","19.1","","","","6.33","3.99","1.37","0.28","","3.41","5.58","0.42","","","","","","","","","","","","","","","","0.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.38","","","","","","","","","","","","","","","66.8","1250","62","602","122","","","","","","","","","","","","","1240","90.5","195","","82.7","14.6","4.42","12.2","1.6","","","","","3.76","0.52","12.7","8.7","","","","","","","","","","","10.2","","","","","","","","","","","","","","","","","","","","","","","","","","140150",
"[6181]","SEAMOUNT","LINE ISLANDS CHAIN / UNNAMED SEAMOUNT (LINE ISLANDS CHAIN) / DREDGE 71 / PACIFIC OCEAN","","20.2233","20.2233","-170.6217","-170.6217","SUBAQUATIC","-1740","-2220","s SO33-D71-63 [6181]","MUGEARITE [6181]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [6181] ","57.6","1.31","","19.4","","","","5.38","4.33","1.44","0.25","","3.45","5.98","0.43","","","","","","","","","","","","","","","","1.93","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.51","","","","","","","","","","","","","","","49.6","1340","60","631","128","","","","","","","","","","","","","1300","99","213","","90.7","16","4.75","13.8","1.72","","","","","4.35","0.6","13.8","9.2","","","","","","","","","","","10.9","","","","","","","","","","","","","","","","","","","","","","","","","","140151",
"[6181]","SEAMOUNT","LINE ISLANDS CHAIN / UNNAMED SEAMOUNT (LINE ISLANDS CHAIN) / DREDGE 72 / PACIFIC OCEAN","","20.2183","20.2183","-170.5883","-170.5883","SUBAQUATIC","-1404","-1480","s SO33-D72-22 [6181]","TRACHYTE [6181]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [6181] ","61.1","0.47","","20.4","","","","4.63","1.47","0.78","0.27","","4.63","5.65","0.06","","","","","","","","","","","","","","","","3.02","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.24","","","","","","","","","","","","","","","56.8","477","28","756","156","","","","","","","","","","","","","1330","85.6","226","","61.2","9.79","3.01","7.52","0.66","","","","","1.02","0.13","19","12.1","","","","","","","","","","","17.3","","","","","","","","","","","","","","","","","","","","","","","","","","140152",
"[6181]","SEAMOUNT","LINE ISLANDS CHAIN / JOHNSTON ATOLL / DREDGE 3 / PACIFIC OCEAN","","16.4467","16.4467","-169.5283","-169.5283","SUBAQUATIC","-2340","-2730","s F7-86-D3-1 [6181]","BASALT, ALKALINE [6181]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [6181] ","43.1","3.57","","17.1","","","","13.05","10.3","4.59","0.25","","1.6","2.65","2.37","","","","","","","","","","","","","","","","5.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.7","","","","","","","","","","","","","","","31.2","1190","62","547","100","","","","","","","","","","","","","551","89","189","","78.6","16.4","5.2","14.6","2.01","","","","","3.93","0.53","11.8","7.5","","","","","","","","","","","7.5","","","","","","","","","","","","","","","","","","","","","","","","","","140153",
"[6181]","SEAMOUNT","LINE ISLANDS CHAIN / JOHNSTON ATOLL / DREDGE 5 / PACIFIC OCEAN","","16.3967","16.3967","-169.5417","-169.5417","SUBAQUATIC","-2420","-2750","s F7-86-D5-1 [6181]","TRACHYBASALT [6181]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [6181] ","49","3.68","","14.5","","","","13.86","7.5","4.85","0.14","","2.14","1.57","1.24","","","","","","","","","","","","","","","","9.35","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.5","","","","","","","","","","","","","","","45.2","311","32","241","50","","","","","","","","","","","","","353","36.5","62.1","","31","6.76","2.19","6.32","0.82","","","","","1.86","0.26","6.23","3.88","","","","","","","","","","","3.9","","","","","","","","","","","","","","","","","","","","","","","","","","140154",
"[6181]","SEAMOUNT","LINE ISLANDS CHAIN / JOHNSTON ATOLL / DREDGE 14 / PACIFIC OCEAN","","16.4417","16.4417","-169.5483","-169.5483","SUBAQUATIC","-2290","-2390","s F7-86-D14-1 [6181]","BASANITE [6181]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [6181] ","37.5","5.13","","14","","","","15.75","13.4","5.94","0.26","","1.56","1.32","3.38","","","","","","","","","","","","","","","","9.44","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.7","","","","","","","","","","","","","","","28.7","627","60","525","108","","","","","","","","","","","","","509","94.3","197","","90.6","16.6","4.85","13.3","1.81","","","","","3.42","0.48","11.9","8.3","","","","","","","","","","","10.3","","","","","","","","","","","","","","","","","","","","","","","","","","140155",
"[6181]","SEAMOUNT","LINE ISLANDS CHAIN / JOHNSTON ATOLL / DREDGE 14 / PACIFIC OCEAN","","16.4417","16.4417","-169.5483","-169.5483","SUBAQUATIC","-2290","-2390","s F7-86-D14-2 [6181]","BASANITE [6181]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [6181] ","37.8","5.13","","14.1","","","","15.48","14.4","6.8","0.27","","1","1.05","2.34","","","","","","","","","","","","","","","","8.06","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.4","","","","","","","","","","","","","","","17.8","449","58","556","114","","","","","","","","","","","","","434","96.6","202","","94.7","17","4.98","13.7","1.87","","","","","3.36","0.47","12.2","8.4","","","","","","","","","","","10.5","","","","","","","","","","","","","","","","","","","","","","","","","","140156",
