"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[792]","SEAMOUNT","LOUISVILLE SEAMOUNT CHAIN / OSBOURN / PACIFIC OCEAN","NORTHWEST SIDE OF SEAMOUNT","-25.53","-25.53","-174.04","-174.04","SUBAQUATIC","-2443","-3270","s SOTW-58-7 [792]","HAWAIITE, NEPHELINE [792]","66000000 [792]","66000000 [792]","","","","","","FINE-GRAINED [792] ","VOLCANIC ROCK","","","","","WHOLE_ROCK [792] ","46.36","2.6","","15.83","","","10.37","","9.11","5.98","0.18","","3.15","5.47","0.23","","8.13","","","0.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","165","","","","","82","","","","","","","","12","3954","25","182","24","","","","","","","","","","","","","128","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10164-SOTW-58-7",
"[792]","SEAMOUNT","LOUISVILLE SEAMOUNT CHAIN / 27.6°S GUYOT / PACIFIC OCEAN","WESTSIDE OF SEAMOUNT","-27.28","-27.28","-174.21","-174.21","SUBAQUATIC","-3919","-3919","s SOTW-52-1 [792]","BASALT, ALKALINE [792]","","","","","","","","FINE-GRAINED [792] ","VOLCANIC ROCK","","","","","WHOLE_ROCK [792] ","47.34","3.36","","18.46","","","11.41","","9.69","3.8","0.14","","1.42","2.96","0.84","","2.51","","","0.02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27","","356","109","","","33","56","","117","","","","","","25","647","34","276","45","","","","","","","","","","","","0.59","202","31.07","71.06","","","8.65","2.68","","1.16","","","","","2.37","0.35","6.53","","","","","","","","","","","","2.96","0.75","","","","","","","","","","","","","","","","","","","","","","","","","10172-SOTW-52-1",
"[792]","SEAMOUNT","LOUISVILLE SEAMOUNT CHAIN / CURRITUCK GUYOT / PACIFIC OCEAN","SOUTHEAST SIDE OF GUYOT","-30.1","-30.1","-173.25","-173.25","SUBAQUATIC","-3625","-3625","s SOTW-48-2 [792]","HAWAIITE [792]","","","","","","","","FINE-GRAINED [792] ","VOLCANIC ROCK","","","","","WHOLE_ROCK [792] ","46.19","3.62","","16.19","","","11.85","","9.52","3.01","0.14","","2.03","3.39","2.96","","4.83","","","0.67","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21","","270","88","","","39","94","","153","","","","","","89","596","76","277","54","","","","","","","","","","","","5.85","135","44.39","65.58","","","9.48","3.02","","1.48","","","","","3.89","0.61","6.51","","","","","","","","","","","","3.08","1.19","","","","","","","","","","","","","","","","","","","","","","","","","10174-SOTW-48-2",
"[791]","SEAMOUNT","LOUISVILLE SEAMOUNT CHAIN / UNNAMED SEAMOUNT (LOUISVILLE SEAMOUNT CHAIN) / PACIFIC OCEAN","","-41.45","-41.45","-164.27","-164.27","SUBAQUATIC","-1000","-1080","s MSN110-1 [791]","BASALT, ALKALINE [791]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [791] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.63","824.7","","","","","","","","","","","","","","","","","","","","33.45","5.424","","","","","","","","","","","","","","","","","","","","","","","","0.512933","","","0.703638","","19.332","","15.626","","39.127","","","","","","","","","","","","","","","38561",
"[791]","SEAMOUNT","LOUISVILLE SEAMOUNT CHAIN / UNNAMED SEAMOUNT (LOUISVILLE SEAMOUNT CHAIN) / PACIFIC OCEAN","","-41.45","-41.45","-164.27","-164.27","SUBAQUATIC","-1000","-1080","s MSN110-B [791]","BASALT, ALKALINE [791]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [791] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","44.89","754.6","","","","","","","","","","","","","","","","","","","","12.794","3.286","","","","","","","","","","","","","","","","","","","","","","","","0.512932","","","0.703675","","","","","","","","","","","","","","","","","","","","","38562",
"[791]","SEAMOUNT","LOUISVILLE SEAMOUNT CHAIN / UNNAMED SEAMOUNT (LOUISVILLE SEAMOUNT CHAIN) / PACIFIC OCEAN","","-30.17","-30.17","-173.43","-173.43","SUBAQUATIC","-3291","-3291","s SOTW9-48-2 [791]","HAWAIITE [791]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [791] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.562","568","","","","","","","","","","","","","","","","","","","","12.68","0.8188","","","","","","","","","","","","","","","","","","","","","","","","0.51293","","","0.703657","","19.452","","15.632","","39.216","","","","","","","","","","","","","","","38567",
"[791]","SEAMOUNT","LOUISVILLE SEAMOUNT CHAIN / UNNAMED SEAMOUNT (LOUISVILLE SEAMOUNT CHAIN) / PACIFIC OCEAN","","-27.47","-27.47","-174.41","-174.41","SUBAQUATIC","-3593","-3593","s SOTW9-52-1 [791]","HAWAIITE [791]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [791] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.13","620.4","","","","","","","","","","","","","","","","","","","","62.02","5.751","","","","","","","","","","","","","","","","","","","","","","","","0.512888","","","0.703396","","","","","","","","","","","","","","","","","","","","","38568",
"[791]","SEAMOUNT","LOUISVILLE SEAMOUNT CHAIN / UNNAMED SEAMOUNT (LOUISVILLE SEAMOUNT CHAIN) / PACIFIC OCEAN","","-25.87","-25.87","-175.09","-175.09","SUBAQUATIC","-3270","-3270","s SOTW9-58-1 [791]","BASANITOID [791]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [791] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.528","127.1","","","","","","","","","","","","","","","","","","","","13.42","4.064","","","","","","","","","","","","","","","","","","","","","","","","0.512902","","","0.703601","","","","","","","","","","","","","","","","","","","","","38569",
"[791]","SEAMOUNT","LOUISVILLE SEAMOUNT CHAIN / UNNAMED SEAMOUNT (LOUISVILLE SEAMOUNT CHAIN) / PACIFIC OCEAN","","-25.87","-25.87","-175.09","-175.09","SUBAQUATIC","-3270","-3270","s SOTW9-58-3 [791]","BASALT, ALKALINE [791]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [791] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.41","370.9","","","","","","","","","","","","","","","","","","","","15.94","5.029","","","","","","","","","","","","","","","","","","","","","","","","0.512904","","","0.703561","","","","","","","","","","","","","","","","","","","","","38570",
"[791]","SEAMOUNT","LOUISVILLE SEAMOUNT CHAIN / UNNAMED SEAMOUNT (LOUISVILLE SEAMOUNT CHAIN) / PACIFIC OCEAN","","-25.87","-25.87","-175.09","-175.09","SUBAQUATIC","-3270","-3270","s SOTW9-58-5 [791]","BASALT, ALKALINE [791]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [791] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.5213","23.08","","","","","","","","","","","","","","","","","","","","14.18","4.098","","","","","","","","","","","","","","","","","","","","","","","","0.512908","","","0.703505","","","","","","","","","","","","","","","","","","","","","38571",
