"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[3177][3365][2409]","SEAMOUNT","MARIANA ARC / UNNAMED SEAMOUNT (MARIANA ARC) / DREDGE CI-10D / PACIFIC OCEAN","","14.25","14.25","142.92","142.92","SUBAQUATIC","-2800","-3600","s CIRCE10-D [3177] / s CI-10-D [3365]","NOT GIVEN [3177] / DACITE [3365]","","","","NEOGENE [2409]","","","","","VOLCANIC ROCK","","","","","VOLCANIC GLASS [3177] / WHOLE_ROCK [3365] ","75.56","0.36","","13.92","","1","1.29","2.19","2.59","0.52","0.11","","1.89","2.78","0.02","","3.05","1.37","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.864","","15.538","","38.389","","","","","","","","","","","","","","","10005-CI-10-D",
"[2595][2404][2384]","SEAMOUNT","MARIANA ARC / UNNAMED SEAMOUNT (MARIANA ARC) / PACIFIC OCEAN","","21.95","21.95","143.45","143.45","SUBAQUATIC","","","s MV1506 [2595]","ANDESITE [2595] / ANDESITE, AUGITE-HYPERSTHENE [2404] / ANDESITE, AUGITE [2384]","","","","RECENT [2595]","","","","GLASSY [2404] ","VOLCANIC ROCK","","","FRESH","","WHOLE_ROCK [2595] / VOLCANIC GLASS [2404] ","59.6","0.98","","14.9","","1.99","6.54","8.75","6.38","2.63","0.18","","1.33","3.27","0.17","1.494","","","","0.08","","0.332","0.232","","","","","","","0.003","","","","","","","","","","","","","","","","","","15.2","","","","","","","","","","","","","","3","","","","0","","98","15","","","","","27","355","35","91","0","","","","","","","","","","","","","562","16","39","","22","","","","","","","","","","","","","","","","","","","","","5","","4","","","","","","","","","","","","","","","","","","","","","","","","","","10035-MV 1506",
"[2595][2404][2384]","SEAMOUNT","MARIANA ARC / UNNAMED SEAMOUNT (MARIANA ARC) / PACIFIC OCEAN","","21.95","21.95","143.45","143.45","SUBAQUATIC","","","s MV15220 [2595]","ANDESITE [2595] / ANDESITE, AUGITE [2404]","","","","RECENT [2595]","","","","GLASSY [2404] ","VOLCANIC ROCK","","","FRESH","","WHOLE_ROCK [2595] / VOLCANIC GLASS [2404] ","55.3","1.14","","14.8","","1.39","7.86","9.93","8.02","3.17","0.18","","1.2","2.64","0.14","0.898","","","","0.433","","0.029","0.049","","","","","","","0.01","","","","","","","","","","","","","","","","","","69","","","","","","","","","","","31.4","","","10","","","26.9","3","","99","14","","","","","26","395","29","82","0","","","","","","","","","","","","0.68","476","16.1","27.6","","20","","1.4","","0.73","","","","","","","2.42","0.12","","","","","","","","","9","","7","0.72","","","","","","","","","","","","","","","","","","","","","","","","","10035-MV 15220",
"[2377][2385]","SEAMOUNT","MARIANA ARC / ESMERALDA BANK / STATION 45 / PACIFIC OCEAN","AT 100-300 M DEPTH FROM THE EASTERN WALL OF THE CENTRAL CRATER","14.9583","14.9583","145.275","145.275","SUBAQUATIC","-294","-294","s M-45-11 [2377] / s 45-11 [2385]","BASALT [2377]","","","","","","","","APHYRIC [2377] ","VOLCANIC ROCK","","","","","WHOLE_ROCK [2377] ","51.9","1.35","","15.2","","2","12.99","","9.13","3.96","0.23","","0.99","3.4","0.23","0.66","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","","","","","","","","16","336","","96","","","","","","","","","","","","","","240","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10080-M-45-11",
"[2377][2385]","SEAMOUNT","MARIANA ARC / ESMERALDA BANK / STATION 45 / PACIFIC OCEAN","AT 100-300 M DEPTH FROM THE EASTERN WALL OF THE CENTRAL CRATER","14.9583","14.9583","145.275","145.275","SUBAQUATIC","-294","-294","s M-45-G-2 [2377] / s 45-G-2 [2385]","BASALT [2377]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [2377] / VOLCANIC GLASS [2385] ","51","1.17","","16.9","","1.78","11.58","","10.15","3.57","0.2","","0.9","3","0.19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11","","","","","","","","14.67","377","","87","","","","","","","","","","","","","0.5","218.9","","17.25","","12.01","3.29","1.2","3.97","","4","","2.46","","2.38","","","","","","","","","","","","","","","","0.51306","","","0.70342","","","","","","","","","","","","","","","","","","","","","10080-M-45-G-2",
"[2377][2385]","SEAMOUNT","MARIANA ARC / ESMERALDA BANK / STATION 46 / PACIFIC OCEAN","AT 800-1,200 M DEPTH ON THE WESTERN FLANK, FLOW BOTTOM","14.9533","14.9533","145.2283","145.2283","SUBAQUATIC","-1130","-1130","s M-46-10B [2377] / s 46-10B [2385]","BASALT [2377]","","","","","","","","VESICULAR [2377] ","VOLCANIC ROCK","","","","","WHOLE_ROCK [2377] ","53.1","1.36","","14.6","","2.5","13.31","","9.1","4.06","0.23","","0.92","2.9","0.21","1.08","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12","","","","","","","","15.6","337.6","","91","","","","","","","","","","","","","0.95","270","","20.14","","14.39","4.17","1.46","4.9","","5.02","","3.17","","3.02","","","","","","","","","","","","","","","","0.51303","","","0.70348","","","","","","","","","","","","","","","","","","","","","10087-M-46-10B",
"[2377][2385]","SEAMOUNT","MARIANA ARC / ESMERALDA BANK / STATION 46 / PACIFIC OCEAN","AT 800-1,200 M DEPTH ON THE WESTERN FLANK, FLOW BOTTOM","14.9533","14.9533","145.2283","145.2283","SUBAQUATIC","-1130","-1130","s M-46-10T [2377] / s 46-10T [2385]","BASALT [2377]","","","","","","","","VESICULAR [2377] ","VOLCANIC ROCK","","","","","WHOLE_ROCK [2377] ","52.2","1.35","","14.4","","2.81","13.14","","9.14","4.48","0.23","","0.92","3.3","0.22","0.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17","","","","","","","","15","326","","88","","","","","","","","","","","","","","223","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.51304","","","0.70346","","","","","","","","","","","","","","","","","","","","","10088-M-46-10T",
"[19796]","SEAMOUNT","MARIANA ARC / CONICAL / SITE 779 / PACIFIC OCEAN","HOLE 779A","19.5125","19.5125","146.6958","146.6958","SUBAQUATIC","-3957.9","-3957.9","s 17R-4W, 32-34 [19796]","SERPENTINITE [19796]","","","","","","","","","METAMORPHIC ROCK","","","","","WHOLE_ROCK [19796] ","40.8","0","","0.36","","","","7.4","0.49","43.4","0.12","","0.01","0.01","0","","","","","","","","","","","","","","","","6.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","8","","24","3823","","","","2299","26","44","","","","","","","0","","","","","","","","","","","","","","","","4","","","","","","","","","","","","","","","","","","","","","","","","0.00021","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1011691",
"[19796]","SEAMOUNT","MARIANA ARC / CONICAL / SITE 779 / PACIFIC OCEAN","HOLE 779A","19.5125","19.5125","146.6958","146.6958","SUBAQUATIC","-3957.9","-3957.9","s 35R-1W, 22-24 [19796]","SERPENTINITE [19796]","","","","","","","","","METAMORPHIC ROCK","","","","","WHOLE_ROCK [19796] ","36.3","0","","0.17","","","","6.4","0.24","41","0.09","","0.01","0.05","0.01","","","","","","","","","","","","","","","","15.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","","12","1726","","","","2311","7","46","","","","","","","13","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","0.00084","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1011692",
"[19796]","SEAMOUNT","MARIANA ARC / CONICAL / SITE 779 / PACIFIC OCEAN","HOLE 779A","19.5125","19.5125","146.6958","146.6958","SUBAQUATIC","-3957.9","-3957.9","s 31R-2W, 85-87 [19796]","RODINGITE [19796]","","","","","","","","","PLUTONIC ROCK","","","","","WHOLE_ROCK [19796] ","39.3","1.51","","13.98","","","","10.9","21.75","7.4","0.2","","0","0.15","0.11","","","","","","","","","","","","","","","","4.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0003","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1011693",
"[19796]","SEAMOUNT","MARIANA ARC / SOUTH CHAMORRO / SITE 1200 / PACIFIC OCEAN","HOLE 1200A","13.78","13.78","146","146","SUBAQUATIC","-2930","-2930","s 11R-1W, 47-49 [19796]","SERPENTINITE [19796]","","","","","","","","","METAMORPHIC ROCK","","","","","WHOLE_ROCK [19796] ","34.3","0.032","","0.44","","","","6.9","0.41","40.9","0.11","","0.04","0.14","0.014","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","","23","2417","","","","2271","13","56","","","","","","","25","","","","","","","","","","","","","","","","12","","","","","","","","","","","","","","","","","","","","","","","","0.0006","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1011694",
