"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[5863]","SEAMOUNT","MID-PACIFIC MOUNTAINS / RESOLUTION GUYOT / SITE 866 / PACIFIC OCEAN","HOLE 866A","21.3317","21.3326","174.3133","174.3141","SUBAQUATIC","-1372.6","-1372.6","s 143-866A-171R-3,70-73 [5863]","BASALT [5863]","107000000 [5863]","129000000 [5863]","","","","","","","VOLCANIC ROCK","","","EXTENSIVELY ALTERED","","WHOLE_ROCK [5863] ","49.63","2.91","","17.29","","11.5","","","1.22","2.41","0.05","","8.88","0.85","0.28","","","","","","","","","","","","","","","","5.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","29","","151","594","","","47","386","37","168","","","","","","59","63","19","147","22","","","","","","","","","","","","","203","11.3","26.1","3.52","17.1","3.81","1.25","","0.62","","0.7","1.79","","1.26","0.16","","","","","","","","","","","","","5","","","","","","","","","","","","","","","","","","","","","","","","","","196678",
"[5863]","SEAMOUNT","MID-PACIFIC MOUNTAINS / RESOLUTION GUYOT / SITE 866 / PACIFIC OCEAN","HOLE 866A","21.3317","21.3326","174.3133","174.3141","SUBAQUATIC","-1372.6","-1372.6","s 143-866A-171R-3,143-146 [5863]","BASALT [5863]","107000000 [5863]","129000000 [5863]","","","","","","","VOLCANIC ROCK","","","EXTENSIVELY ALTERED","","WHOLE_ROCK [5863] ","50.25","2.77","","16.31","","9.54","","","2.59","1.68","0.08","","10.07","0.68","0.22","","","","","","","","","","","","","","","","5.97","","","","","","","","","","","","","","","","","","","","","","","","","","","","22","","210","602","","","40","297","69","76","","","","","","51","71","20","143","22","","","","","","","","","","","","","254","12.2","25.8","4.06","19.2","4.64","1.43","","0.7","","0.71","1.73","","1.36","0.19","","","","","","","","","","","","","6","","","","","","","","","","","","","","","","","","","","","","","","","","196679",
"[5863]","SEAMOUNT","MID-PACIFIC MOUNTAINS / RESOLUTION GUYOT / SITE 866 / PACIFIC OCEAN","HOLE 866A","21.3317","21.3326","174.3133","174.3141","SUBAQUATIC","-1372.6","-1372.6","s 143-866A-174R-1,3-5 [5863]","BASALT [5863]","107000000 [5863]","129000000 [5863]","","","","","","","VOLCANIC ROCK","","","EXTENSIVELY ALTERED","","WHOLE_ROCK [5863] ","47.05","2.65","","15.25","","10.8","","","11.07","6.41","0.15","","0.55","3","0.3","","","","","","","","","","","","","","","","3.06","","","","","","","","","","","","","","","","","","","","","","","","","","","","24","","251","416","","","53","246","81","100","","","","","","8","580","27","168","24","","","","","","","","","","","","","112","14.7","37.2","5.1","25","5.93","1.9","","0.91","","1.06","2.92","","2.45","0.4","","","","","","","","","","","","","7","","","","","","","","","","","","","","","","","","","","","","","","","","196680",
"[5863]","SEAMOUNT","MID-PACIFIC MOUNTAINS / RESOLUTION GUYOT / SITE 866 / PACIFIC OCEAN","HOLE 866A","21.3317","21.3326","174.3133","174.3141","SUBAQUATIC","-1372.6","-1372.6","s 143-866A-177R-1,10-13 [5863]","BASALT [5863]","107000000 [5863]","129000000 [5863]","","","","","","","VOLCANIC ROCK","","","EXTENSIVELY ALTERED","","WHOLE_ROCK [5863] ","46.84","2.76","","15.42","","13.11","","","9.66","6.98","0.17","","0.47","2.98","0.29","","","","","","","","","","","","","","","","1.79","","","","","","","","","","","","","","","","","","","","","","","","","","","","24","","306","176","","","54","135","76","99","","","","","","5","396","27","151","21","","","","","","","","","","","","","92","14.4","35","4.65","22.3","4.97","1.83","","0.85","","1.1","2.97","","2.34","0.35","","","","","","","","","","","","","6","","","","","","","","","","","","","","","","","","","","","","","","","","196681",
"[5863]","SEAMOUNT","MID-PACIFIC MOUNTAINS / RESOLUTION GUYOT / SITE 866 / PACIFIC OCEAN","HOLE 866A","21.3317","21.3326","174.3133","174.3141","SUBAQUATIC","-1372.6","-1372.6","s 143-866A-179R-1,108-112 [5863]","BASALT [5863]","107000000 [5863]","129000000 [5863]","","","","","","","VOLCANIC ROCK","","","EXTENSIVELY ALTERED","","WHOLE_ROCK [5863] ","45.51","3.42","","15.12","","12.22","","","7.01","7.45","0.25","","0.83","3.25","0.26","","","","","","","","","","","","","","","","4.56","","","","","","","","","","","","","","","","","","","","","","","","","","","","24","","274","292","","","61","199","53","109","","","","","","5","552","26","160","26","","","","","","","","","","","","","109","13.6","34.6","4.81","24","5.84","1.94","","0.9","","0.96","2.45","","2.09","0.28","","","","","","","","","","","","","6","","","","","","","","","","","","","","","","","","","","","","","","","","196682",
"[5863]","SEAMOUNT","MID-PACIFIC MOUNTAINS / RESOLUTION GUYOT / SITE 866 / PACIFIC OCEAN","HOLE 866A","21.3317","21.3326","174.3133","174.3141","SUBAQUATIC","-1372.6","-1372.6","s 143-866A-179R-2,13-18 [5863]","BASALT [5863]","107000000 [5863]","129000000 [5863]","","","","","","","VOLCANIC ROCK","","","EXTENSIVELY ALTERED","","WHOLE_ROCK [5863] ","46.87","3.45","","15.28","","12.49","","","6.02","7.98","0.23","","0.75","3.26","0.25","","","","","","","","","","","","","","","","3.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","22","","289","302","","","61","200","55","111","","","","","","7","538","25","164","27","","","","","","","","","","","","","116","13.4","33.5","4.72","22.7","5.3","1.95","","0.85","","0.91","2.46","","1.91","0.24","","","","","","","","","","","","","6","","","","","","","","","","","","","","","","","","","","","","","","","","196683",
"[5863]","SEAMOUNT","MID-PACIFIC MOUNTAINS / RESOLUTION GUYOT / SITE 866 / PACIFIC OCEAN","HOLE 866A","21.3317","21.3326","174.3133","174.3141","SUBAQUATIC","-1372.6","-1372.6","s 143-866A-179R-2,137-140 [5863]","BASALT [5863]","107000000 [5863]","129000000 [5863]","","","","","","","VOLCANIC ROCK","","","EXTENSIVELY ALTERED","","WHOLE_ROCK [5863] ","47.23","2.52","","16.61","","11.29","","","2.48","9.42","0.38","","2.455","2.32","0.21","","","","","","","","","","","","","","","","5.68","","","","","","","","","","","","","","","","","","","","","","","","","","","","29","","300","207","","","53","137","120","82","","","","","","16","283","19","128","17","","","","","","","","","","","","","145","9.7","24.7","3.43","16.6","3.95","1.54","","0.64","","0.76","2.2","","1.68","0.25","","","","","","","","","","","","","6","","","","","","","","","","","","","","","","","","","","","","","","","","196684",
"[5863]","SEAMOUNT","MID-PACIFIC MOUNTAINS / RESOLUTION GUYOT / SITE 866 / PACIFIC OCEAN","HOLE 866A","21.3317","21.3326","174.3133","174.3141","SUBAQUATIC","-1372.6","-1372.6","s 143-866A-179R-5,32-35 [5863]","BASALT [5863]","107000000 [5863]","129000000 [5863]","","","","","","","VOLCANIC ROCK","","","EXTENSIVELY ALTERED","","WHOLE_ROCK [5863] ","46.44","2.75","","16.84","","11.52","","","8.2","7.05","0.24","","0.71","3.01","0.25","","","","","","","","","","","","","","","","3.16","","","","","","","","","","","","","","","","","","","","","","","","","","","","26","","288","182","","","50","136","80","91","","","","","","7","468","27","145","20","","","","","","","","","","","","","99","11.4","29.8","4.15","20.3","4.94","1.73","","0.8","","0.95","2.42","","1.94","0.31","","","","","","","","","","","","","6","","","","","","","","","","","","","","","","","","","","","","","","","","196685",
"[5863]","SEAMOUNT","MID-PACIFIC MOUNTAINS / RESOLUTION GUYOT / SITE 866 / PACIFIC OCEAN","HOLE 866A","21.3317","21.3326","174.3133","174.3141","SUBAQUATIC","-1372.6","-1372.6","s 143-866A-179R-5,51-59 [5863]","BASALT [5863]","107000000 [5863]","129000000 [5863]","","","","","","","VOLCANIC ROCK","","","EXTENSIVELY ALTERED","","WHOLE_ROCK [5863] ","46.62","2.61","","16.8","","11.39","","","9.94","6.73","0.24","","0.41","3.03","0.24","","","","","","","","","","","","","","","","1.79","","","","","","","","","","","","","","","","","","","","","","","","","","","","19","","259","175","","","46","136","67","84","","","","","","6","480","24","134","18","","","","","","","","","","","","","96","11.3","29","4.04","19.9","4.55","1.69","","0.72","","0.89","2.52","","1.97","0.26","","","","","","","","","","","","","8","","","","","","","","","","","","","","","","","","","","","","","","","","196686",
"[5863]","SEAMOUNT","MID-PACIFIC MOUNTAINS / RESOLUTION GUYOT / SITE 866 / PACIFIC OCEAN","HOLE 866A","21.3317","21.3326","174.3133","174.3141","SUBAQUATIC","-1372.6","-1372.6","s 143-866A-179R-5,131-135 [5863]","BASALT [5863]","107000000 [5863]","129000000 [5863]","","","","","","","VOLCANIC ROCK","","","EXTENSIVELY ALTERED","","WHOLE_ROCK [5863] ","46.21","2.51","","16.69","","11.16","","","10.71","6.24","0.16","","0.4","2.8","0.24","","","","","","","","","","","","","","","","2.33","","","","","","","","","","","","","","","","","","","","","","","","","","","","14","","241","162","","","48","131","77","79","","","","","","5","495","24","130","17","","","","","","","","","","","","","97","10.8","27.8","3.81","18.5","4.45","1.6","","0.67","","0.86","2.4","","1.88","0.26","","","","","","","","","","","","","7","","","","","","","","","","","","","","","","","","","","","","","","","","196687",
