"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[4890]","SEAMOUNT","NEW HEBRIDES ARC - VANUATU ARCHIPELAGO / WESTERN SEAMOUNT / PACIFIC OCEAN","TIKOPIA AREA","-12.5533","-12.555","167.676","167.68","SUBAQUATIC","-1284","-1425","s TIK4150 [4890]","BASALT [4890]","","","","","","","","","VOLCANIC ROCK","","","FRESH","","WHOLE_ROCK [4890] ","59.07","0.95","","17.57","","2.55","3.95","","6.68","3.07","0.17","","0.94","3.6","0.26","","0.9","0.21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","140","3","","","","6","","","","","","","","12.7","286","31.7","154","9.5","","","","","","","","","","","","","180","12.9","25","","17","","1.4","","","5.2","","3.2","","3.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","109374",
"[4890]","SEAMOUNT","NEW HEBRIDES ARC - VANUATU ARCHIPELAGO / WESTERN SEAMOUNT / PACIFIC OCEAN","TIKOPIA AREA","-12.5533","-12.555","167.676","167.68","SUBAQUATIC","-1284","-1425","s TIK4151 [4890]","BASALT [4890]","","","","","","","","","VOLCANIC ROCK","","","FRESH","","WHOLE_ROCK [4890] ","59.15","0.92","","17.59","","2.5","3.93","","6.7","3.06","0.17","","0.92","3.62","0.26","","0.77","0.18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","133","2","","","","6","","","","","","","","12.1","288","31.5","154","9.5","","","","","","","","","","","","","180","12.5","25","","17","","1.55","","","4.8","","3.2","","3.4","","","","","","","","","","","","","","1.5","","","","","","","","","","","","","","","","","","","","","","","","","","109375",
"[4890]","SEAMOUNT","NEW HEBRIDES ARC - VANUATU ARCHIPELAGO / WESTERN SEAMOUNT / PACIFIC OCEAN","TIKOPIA AREA","-12.5533","-12.555","167.676","167.68","SUBAQUATIC","-1284","-1425","s TIK4153 [4890]","BASALT [4890]","","","","","","","","","VOLCANIC ROCK","","","FRESH","","WHOLE_ROCK [4890] ","59.12","0.93","","17.68","","2.55","3.89","","6.68","3.03","0.17","","0.93","3.7","0.26","","0.81","0.19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","135","2","","","","6","","","","","","","","12.4","288","31.7","155","9","","","","","","","","","","","","","183","12.5","25","","17","","1.45","","","5","","3.2","","3.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","109376",
"[4890]","SEAMOUNT","NEW HEBRIDES ARC - VANUATU ARCHIPELAGO / WESTERN SEAMOUNT / PACIFIC OCEAN","TIKOPIA AREA","-12.5533","-12.555","167.676","167.68","SUBAQUATIC","-1284","-1425","s TIK4155 [4890]","BASALT [4890]","","","","","","","","","VOLCANIC ROCK","","","FRESH","","WHOLE_ROCK [4890] ","59.1","0.93","","17.54","","2.57","3.88","","6.7","3.07","0.17","","0.94","4.41","0.26","","0.73","0.22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","135","3","","","","7","","","","","","","","12.5","287","31.5","155","9.5","","","","","","","","","","","","","188","12.7","27","","17","","1.5","","","5.1","","3.4","","3.5","","","","","","","","","","","","","","1.3","","","","","","","","","","","","","","","","","","","","","","","","","","109377",
"[4890]","SEAMOUNT","NEW HEBRIDES ARC - VANUATU ARCHIPELAGO / WESTERN SEAMOUNT / PACIFIC OCEAN","TIKOPIA AREA","-12.5533","-12.555","167.676","167.68","SUBAQUATIC","-1284","-1425","s TIK4152 [4890]","BASALT [4890]","","","","","","","","","VOLCANIC ROCK","","","FRESH","","WHOLE_ROCK [4890] ","58.48","1.01","","17.54","","7.29","","","6.77","2.9","0.2","","0.97","4.64","0.23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","176","5","","","","9","","","","","","","","13","273","29","167","10","","","","","","","","","","","","","217","12.6","28.7","","15.8","4.8","1.5","4.6","","5.1","","3.4","","3.5","0.51","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","109378",
"[4890]","SEAMOUNT","NEW HEBRIDES ARC - VANUATU ARCHIPELAGO / WESTERN SEAMOUNT / PACIFIC OCEAN","TIKOPIA AREA","-12.5533","-12.555","167.676","167.68","SUBAQUATIC","-1284","-1425","s TIK415X [4890]","BASALT [4890]","","","","","","","","","VOLCANIC ROCK","","","FRESH","","WHOLE_ROCK [4890] ","58.48","0.99","","17.6","","7.22","","","6.74","2.92","0.2","","0.98","4.73","0.24","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","189","8","","","","7","","","","","","","","11","265","30","163","10","","","","","","","","","","","","","196","12.2","27.2","","15.5","4.9","1.5","4.6","","5.1","","3.2","","3.3","0.51","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","109379",
"[4890]","SEAMOUNT","NEW HEBRIDES ARC - VANUATU ARCHIPELAGO / WESTERN SEAMOUNT / PACIFIC OCEAN","TIKOPIA AREA","-12.533","-12.533","167.6733","167.6733","SUBAQUATIC","","-1905","s CY11 [4890]","BASALT [4890]","","","","","","","","","VOLCANIC ROCK","","","FRESH","","WHOLE_ROCK [4890] ","61.55","0.62","","17.6","","5.26","","","5.12","2.19","0.16","","1.06","5.27","0.21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17","238","22","","","","","","","","","","","","","","","","13.3","27.1","","14.6","4","1.2","3.6","","3.9","","2.5","","2.7","0.42","","","","","","","","","","","","","3","2","","","","","","","","","","","","","","","","","","","","","","","","","109380",
"[4890]","SEAMOUNT","NEW HEBRIDES ARC - VANUATU ARCHIPELAGO / WESTERN SEAMOUNT / STATION 41 / PACIFIC OCEAN","TIKOPIA AREA","-12.5283","-12.5283","167.7516","167.7516","SUBAQUATIC","","-2412","s CY31 [4890]","BASALT [4890]","","","","","","","","","VOLCANIC ROCK","","","FRESH","","WHOLE_ROCK [4890] ","53.66","1.34","","16.18","","8.91","","","9.07","5.66","0.17","","0.72","3.9","0.22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11","178","38","","","","","","","","","","","","","","","","8.4","22.4","","16.5","6.2","1.8","6.2","","6.9","","4.2","","4.1","0.6","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","109381",
"[4890]","SEAMOUNT","NEW HEBRIDES ARC - VANUATU ARCHIPELAGO / WESTERN SEAMOUNT / STATION 41 / PACIFIC OCEAN","TIKOPIA AREA","-12.525","-12.525","167.753","167.753","SUBAQUATIC","","-2203","s CY34 [4890]","BASALT [4890]","","","","","","","","","VOLCANIC ROCK","","","FRESH","","WHOLE_ROCK [4890] ","53.71","1.37","","17.76","","9.23","","","9.6","5.22","0.17","","0.7","3.29","0.15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11","238","24","","","","","","","","","","","","","","","","4.9","11.9","","9.4","3.5","1.2","4","","4.3","","2.7","","2.6","0.38","","","","","","","","","","","","","2","1","","","","","","","","","","","","","","","","","","","","","","","","","109382",
"[4890]","SEAMOUNT","NEW HEBRIDES ARC - VANUATU ARCHIPELAGO / WESTERN SEAMOUNT / STATION 41 / PACIFIC OCEAN","TIKOPIA AREA","-12.54","-12.54","167.7033","167.7033","SUBAQUATIC","","-1550","s CY36 [4890]","BASALT [4890]","","","","","","","","","VOLCANIC ROCK","","","FRESH","","WHOLE_ROCK [4890] ","54.79","0.92","","17.79","","9","","","9.28","4.28","0.16","","0.65","3.4","0.14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9","286","17","","","","","","","","","","","","","","","","5.3","11.9","","8.6","3","1","3","","3.3","","2.1","","1.9","0.3","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","109383",
