"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[759]","SEAMOUNT","PITCAIRN-GAMBIER CHAIN / VOLCANO 1 (PITCAIRN-GAMBIER CHAIN) / PACIFIC OCEAN","","-25.33","-25.33","-129.27","-129.27","SUBAQUATIC","-1400","-1400","s 63DS-1 [759]","BASALT [759]","","","","","","","","GLASSY [759] ","VOLCANIC ROCK","","","FRESH","","WHOLE_ROCK [759] ","52.54","2.6","","16.2","","","","9.26","6.95","3.17","0.15","","2.04","4.62","0.96","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26","","269","231","","","42","91","66","106","","","","","","14","459","22","198","28","","","","","","","","","","","","0.11","223","25","54","7","29","6","2.1","5.8","0.8","4.7","0.9","2.2","0.3","1.8","0.3","4.4","1.9","","","","","","","","","2.5","","2.6","0.6","0.512492","","","0.704826","","17.577","","15.479","","38.764","","","","","","","","","","","","","","","11273",
"[759]","SEAMOUNT","PITCAIRN-GAMBIER CHAIN / VOLCANO 5 (PITCAIRN-GAMBIER CHAIN) / PACIFIC OCEAN","","-25.25","-25.25","-129.33","-129.33","SUBAQUATIC","-2700","-2700","s 57DS-9 [759]","BASALT [759]","","","","","","","","GLASSY [759] ","VOLCANIC ROCK","","","FRESH","","WHOLE_ROCK [759] ","55.24","1.98","","16.35","","","","9.47","5.29","2.31","0.16","","2.86","4.79","1.12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","117","2","","","14","1","9","193","","","","","","32","523","48","533","66","","","","","","","","","","","","0.48","587","75","169","21","84","17","5","15","2","11","1.9","4.8","0.6","3.9","0.5","11","3.6","","","","","","","","","7.9","","7.6","1.9","0.512453","","","0.705263","","17.509","","15.471","","38.882","","","","","","","","","","","","","","","11280",
"[759]","SEAMOUNT","PITCAIRN-GAMBIER CHAIN / VOLCANO 1 (PITCAIRN-GAMBIER CHAIN) / PACIFIC OCEAN","","-25.33","-25.33","-129.27","-129.27","SUBAQUATIC","-1850","-1850","s 64DS-3 [759]","BASALT [759]","","","","","","","","GLASSY [759] ","VOLCANIC ROCK","","","FRESH","","WHOLE_ROCK [759] ","48.76","2.77","","15.02","","","","10.6","9.35","8.16","0.16","","0.98","3.1","0.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22","","240","344","","","46","148","42","115","","","","","","13","535","25","220","28","","","","","","","","","","","","0.12","186","22","51","6.8","30","7.1","2.3","6.6","1","5.5","1","2.5","0.3","2.1","0.3","5.3","1.9","","","","","","","","","2.1","","1.9","0.6","0.512773","","","0.703926","","18.112","","15.511","","38.728","","","","","","","","","","","","","","","11281",
"[759]","SEAMOUNT","PITCAIRN-GAMBIER CHAIN / VOLCANO 1 (PITCAIRN-GAMBIER CHAIN) / PACIFIC OCEAN","","-25.33","-25.33","-129.27","-129.27","SUBAQUATIC","-2600","-2600","s 66DS-5 [759]","BASALT [759]","","","","","","","","GLASSY [759] ","VOLCANIC ROCK","","","FRESH","","WHOLE_ROCK [759] ","60.3","1.06","","17.45","","","","5.64","3.2","1","0.12","","3.57","6.42","0.35","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26","","298","86","","","38","42","35","113","","","","","","15","533","25","227","31","","","","","","","","","","","","0.14","216","25","56","7.2","31","7.2","2.4","6.6","1","5.6","1","2.6","0.3","2.1","0.3","5.2","1.9","","","","","","","","","2.3","","2.3","0.7","0.512723","","","0.704026","","17.978","","15.498","","38.748","","","","","","","","","","","","","","","11283",
"[759]","SEAMOUNT","PITCAIRN-GAMBIER CHAIN / VOLCANO 2 (PITCAIRN-GAMBIER CHAIN) / PACIFIC OCEAN","","-25.33","-25.33","-129.27","-129.27","SUBAQUATIC","-1200","-1200","s 69DS-5 [759]","BASALT [759]","","","","","","","","GLASSY [759] ","VOLCANIC ROCK","","","FRESH","","WHOLE_ROCK [759] ","49.81","2.83","","15.41","","","","10.06","9.99","6.1","0.15","","1.04","3.07","0.44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24","","291","70","","","40","53","40","117","","","","","","15","519","24","229","33","","","","","","","","","","","","0.14","196","23","54","7.1","30","6.9","2.3","6.4","0.9","5.2","0.9","2.4","0.3","1.9","0.3","5","2","","","","","","","","","2.2","","2.2","0.7","0.51276","","","0.7038","","18.122","","15.511","","38.839","","","","","","","","","","","","","","","11284",
"[759]","SEAMOUNT","PITCAIRN-GAMBIER CHAIN / VOLCANO 2 (PITCAIRN-GAMBIER CHAIN) / PACIFIC OCEAN","","-25.19","-25.19","-129.41","-129.41","SUBAQUATIC","-550","-550","s 45DS-5 [759]","BASALT [759]","","","","","","","","GLASSY [759] ","VOLCANIC ROCK","","","FRESH","","WHOLE_ROCK [759] ","49.28","3.58","","16.01","","","","9.9","8.08","5.59","0.14","","1.63","3.85","0.76","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","208","114","","","36","83","89","118","","","","","","28","715","30","359","49","","","","","","","","","","","","0.27","361","40","90","12","49","10.8","3.4","9.7","1.3","7.1","1.2","3.1","0.4","2.3","0.3","8.2","3.2","","","","","","","","","3.9","","4.2","1.2","0.51272","","","0.704071","","18.127","","15.516","","38.942","","","","","","","","","","","","","","","11286",
"[759]","SEAMOUNT","PITCAIRN-GAMBIER CHAIN / VOLCANO 1 (PITCAIRN-GAMBIER CHAIN) / PACIFIC OCEAN","","-25.33","-25.33","-129.27","-129.27","SUBAQUATIC","","","s 61DS-1 [759]","BASALT [759]","","","","","","","","GLASSY [759] ","VOLCANIC ROCK","","","FRESH","","WHOLE_ROCK [759] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.512734","","","0.704021","","18.16","","15.521","","38.928","","","","","","","","","","","","","","","11289",
"[759]","SEAMOUNT","PITCAIRN-GAMBIER CHAIN / VOLCANO 1 (PITCAIRN-GAMBIER CHAIN) / PACIFIC OCEAN","","-25.33","-25.33","-129.27","-129.27","SUBAQUATIC","","","s 64DS-2 [759]","BASALT [759]","","","","","","","","GLASSY [759] ","VOLCANIC ROCK","","","FRESH","","WHOLE_ROCK [759] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.51278","","","0.703933","","18.113","","15.513","","38.742","","","","","","","","","","","","","","","11290",
"[759]","SEAMOUNT","PITCAIRN-GAMBIER CHAIN / VOLCANO 1 (PITCAIRN-GAMBIER CHAIN) / PACIFIC OCEAN","","-25.33","-25.33","-129.27","-129.27","SUBAQUATIC","","","s 65DS-2 [759]","BASALT [759]","","","","","","","","GLASSY [759] ","VOLCANIC ROCK","","","FRESH","","WHOLE_ROCK [759] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.512692","","","0.704057","","18.05","","15.513","","38.919","","","","","","","","","","","","","","","11291",
"[759]","SEAMOUNT","PITCAIRN-GAMBIER CHAIN / VOLCANO 1 (PITCAIRN-GAMBIER CHAIN) / PACIFIC OCEAN","","-25.33","-25.33","-129.27","-129.27","SUBAQUATIC","","","s 67DS-2 [759]","BASALT [759]","","","","","","","","GLASSY [759] ","VOLCANIC ROCK","","","FRESH","","WHOLE_ROCK [759] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.512758","","","0.704024","","18.161","","15.523","","38.933","","","","","","","","","","","","","","","11292",
