"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[461]","SEAMOUNT","SAMOAN ISLANDS / UNNAMED SEAMOUNT (SAMOAN ISLANDS) / PACIFIC OCEAN","SOUTH OF UPOLU","-15","-15","-172.1","-172.1","SUBAQUATIC","","","s 66-24 [461]","NEPHELINITE, MELILITE [461]","","","","","","","","VESICULAR, MICROPORPHYRITIC [461] ","VOLCANIC ROCK","","","","","WHOLE_ROCK [461] ","36.18","3.29","","10.25","","5.31","5.73","","14.26","11.88","0.16","","2.62","3.29","1.14","","3.89","0.74","","1.29","","","","","","","","","","0.13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","165","320","","","42","225","38","125","","","","","","43","1390","","262","","","","","","","","","","","","","","1335","","","","","","","","","","","","","","","","","","","","","","","","","15","","","","","","","","","","","","","","","","","","","","","","","","","","","","12631",
"[461]","SEAMOUNT","SAMOAN ISLANDS / UNNAMED SEAMOUNT (SAMOAN ISLANDS) / PACIFIC OCEAN","SOUTH OF UPOLU","-15","-15","-172.1","-172.1","SUBAQUATIC","","","s 66-23 [461]","NEPHELINITE, OLIVINE [461]","","","","","","","","VESICULAR, MICROPORPHYRITIC [461] ","VOLCANIC ROCK","","","","","WHOLE_ROCK [461] ","38.88","3.94","","11.42","","4.07","6.61","","12.77","13.76","0.18","","2.44","2.53","0.73","","1.98","0.08","","0.48","","","","","","","","","","0.12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","200","1190","","","","500","46","135","","","","","","58","1095","","239","","","","","","","","","","","","","","1240","","","","","","","","","","","","","","","","","","","","","","","","","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","12632",
"[461]","SEAMOUNT","SAMOAN ISLANDS / UNNAMED SEAMOUNT (SAMOAN ISLANDS) / PACIFIC OCEAN","SOUTH OF UPOLU","-15","-15","-172.1","-172.1","SUBAQUATIC","","","s 66-1 [461]","BASANITE [461]","","","","","","","","VERY FINE-GRAINED [461] ","VOLCANIC ROCK","","","","","WHOLE_ROCK [461] ","46.91","3.86","","12.79","","3.43","8.04","","8.11","6.97","0.16","","2.82","4.55","1","","0.85","0.33","","0.07","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","165","167","","","22","143","26","142","","","","","","63","1275","","434","","","","","","","","","","","","","","595","","","","","","","","","","","","","","","","","","","","","","","","","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","12633",
"[6967]","SEAMOUNT","SAMOAN ISLANDS / VAILULU^U / DREDGE 63 / PACIFIC OCEAN","","-14.218","-14.218","-169.059","-169.059","SUBAQUATIC","-920","-920","s 63-5 [6967]","BASALT [6967]","","","","","","","","","VOLCANIC ROCK","","","","","VOLCANIC GLASS [6967] ","48.07","2.67","","13.42","","","","10.19","13.7","8.26","0.17","","0.96","2.24","0.32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42.6","","335","498","","","","110","59","85","20","","","","","22.2","404","24.09","178","34.74","","","","","","","","","","","","0.13","210","28.95","58.29","7","29.05","6.8","2.13","6.16","0.92","5.17","0.94","2.32","0.3","1.75","0.25","4.69","2.32","","","","","","","","","2.08","","3.72","0.82","0.512746","","","0.705299","","19.337","","15.604","","39.604","","","","","","","","","","","","","","","170737",
"[6967]","SEAMOUNT","SAMOAN ISLANDS / VAILULU^U / DREDGE 64 / PACIFIC OCEAN","","-14.26","-14.26","-169.056","-169.056","SUBAQUATIC","-2630","-2630","s 64-1 [6967]","BASALT [6967]","","","","","","","","","VOLCANIC ROCK","","","","","VOLCANIC GLASS [6967] ","47.71","2.8","","13.38","","","","10.6","13.48","8.15","0.17","","1.07","2.31","0.33","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42.2","","329","455","","","","104","85","82","19","","","","","29.6","424","26.43","189","38.97","","","","","","","","","","","","0.33","236","31.12","63.12","7.58","31.29","7.33","2.26","6.72","1.02","5.68","1.01","2.53","0.33","1.91","0.27","5.13","2.59","","","","","","","","","3.04","","4.06","0.87","0.512764","","","0.705303","","19.363","","15.606","","39.623","","","","","","","","","","","","","","","170739",
"[6967]","SEAMOUNT","SAMOAN ISLANDS / VAILULU^U / DREDGE 68 / PACIFIC OCEAN","","-14.217","-14.217","-169.064","-169.064","SUBAQUATIC","-780","-780","s 68-10 [6967]","BASALT [6967]","","350000 [6967]","","","","","","","VOLCANIC ROCK","","","","","VOLCANIC GLASS [6967] ","48.18","3","","14.9","","","","11.34","12.09","6.06","0.19","","1.13","2.76","0.36","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34","","351","66","","","","47","68","94","18","","","","","24.7","434","27.93","202","42.41","","","","","","","","","","","","0.38","239","33.97","67.35","8.07","32.91","7.62","2.39","6.83","1.06","5.95","1.11","2.77","0.36","2.12","0.31","5.45","2.9","","","","","","","","","2.96","","4.67","0.98","0.51276","","","0.705373","","19.325","","15.61","","39.56","","","","","","","","","","","","","","","170741",
"[6967]","SEAMOUNT","SAMOAN ISLANDS / VAILULU^U / DREDGE 68 / PACIFIC OCEAN","","-14.217","-14.217","-169.064","-169.064","SUBAQUATIC","-780","-780","s 68-28 [6967]","BASALT [6967]","","350000 [6967]","","","","","","","VOLCANIC ROCK","","","","","VOLCANIC GLASS [6967] ","47.42","3.62","","15.37","","","","11.49","12.3","5.01","0.18","","1.25","2.86","0.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32.8","","394","50","","","","21","26","99","24","","","","","33.1","521","31.28","222","48.08","","","","","","","","","","","","0.38","292","41.67","84.11","10.01","40.82","9.26","2.81","8.06","1.23","6.64","1.2","2.96","0.38","2.24","0.32","5.92","3.25","","","","","","","","","2.65","","4.96","1.03","0.512743","","","0.705419","","19.337","","15.598","","39.648","","","","","","","","","","","","","","","170743",
"[6967]","SEAMOUNT","SAMOAN ISLANDS / MULI / DREDGE 80 / PACIFIC OCEAN","","-14.129","-14.129","-170.062","-170.062","SUBAQUATIC","-2368","-2368","s 80-23 [6967]","BASALT [6967]","","","","","","","","","VOLCANIC ROCK","","","","","VOLCANIC GLASS [6967] ","48.27","3.36","","17.23","","","","11.05","8.7","4.21","0.2","","1.94","4.17","0.87","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.7","","205","7","","","","0","13","163","28","","","","","38.4","967","48.07","419","77.72","","","","","","","","","","","","0.37","409","58.62","122.09","14.81","65.12","15.63","4.94","14.04","2.04","10.92","1.88","4.39","0.56","3.07","0.45","10.18","5.24","","","","","","","","","4.52","","7.18","1.55","0.512767","","","0.704914","","19.177","","15.591","","39.305","","","","","","","","","","","","","","","170781",
"[6967]","SEAMOUNT","SAMOAN ISLANDS / VAILULU^U / PACIFIC OCEAN","","-14.2","-14.4","-169","-170","SUBAQUATIC","","","s WC1 [6967]","BASALT [6967]","","","","","","","","","VOLCANIC ROCK","","","","","VOLCANIC GLASS [6967] ","48.855","2.527","","12.55","","","","10.614","13.467","8.339","0.178","","0.919","2.242","0.309","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","170849",
"[6967]","SEAMOUNT","SAMOAN ISLANDS / VAILULU^U / PACIFIC OCEAN","","-14.2","-14.4","-169","-170","SUBAQUATIC","","","s WC2 [6967]","BASALT [6967]","","","","","","","","","VOLCANIC ROCK","","","","","VOLCANIC GLASS [6967] ","48.765","2.588","","12.86","","","","10.628","13.491","8.062","0.113","","0.913","2.27","0.31","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","170850",
