"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[562]","SEAMOUNT","SOCIETY ISLANDS / TEAHITIA / B SERIES / PACIFIC OCEAN","","-17.6","-17.6","-148.9","-148.9","SUBAQUATIC","","","s 3-4 [562]","BASALT [562]","","","","","","","","","VOLCANIC ROCK","","","FRESH","","WHOLE_ROCK [562] ","46.14","3.74","","12.69","","3.34","8.52","","10.41","8.31","0.16","","1.64","2.7","0.59","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","271","341","","","51","197","69","","","","","","","33.1","666","32.9","311","38.1","","","","","","","","","","","","","439","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11480",
"[562]","SEAMOUNT","SOCIETY ISLANDS / TEAHITIA / B SERIES / PACIFIC OCEAN","","-17.6","-17.6","-148.9","-148.9","SUBAQUATIC","","","s 3-6 [562]","BASALT [562]","","","","","","","","","VOLCANIC ROCK","","","FRESH","","WHOLE_ROCK [562] ","45.61","3.71","","12.5","","3.64","8.68","","10.12","9.02","0.17","","1.61","2.78","0.59","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","268","358","","","56","220","70","","","","","","","30.9","691","27.4","306","36.4","","","","","","","","","","","","","477","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11482",
"[562]","SEAMOUNT","SOCIETY ISLANDS / TEAHITIA / B SERIES / PACIFIC OCEAN","","-17.6","-17.6","-148.9","-148.9","SUBAQUATIC","","","s 3-102 [562]","BASALT [562]","","","","","","","","","VOLCANIC ROCK","","","FRESH","","WHOLE_ROCK [562] ","45.77","3.58","","12.1","","3.25","8.84","","9.95","9.9","0.18","","1.49","2.54","0.56","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","259","435","","","58","266","66","","","","","","","30.8","656","28.2","298","35.7","","","","","","","","","","","","","448","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11488",
"[562]","SEAMOUNT","SOCIETY ISLANDS / TEAHITIA / B SERIES / PACIFIC OCEAN","","-17.6","-17.6","-148.9","-148.9","SUBAQUATIC","","","s 3-103 [562]","BASALT [562]","","","","","","","","","VOLCANIC ROCK","","","FRESH","","WHOLE_ROCK [562] ","45.39","3.35","","11.34","","2.83","9.44","","9.44","12.12","0.17","","1.55","2.63","0.52","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","237","547","","","68","384","63","","","","","","","27.9","630","25.4","278","32.7","","","","","","","","","","","","","424","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11489",
"[562]","SEAMOUNT","SOCIETY ISLANDS / TEAHITIA / B SERIES / PACIFIC OCEAN","","-17.6","-17.6","-148.9","-148.9","SUBAQUATIC","","","s 3-104 [562]","BASALT [562]","","","","","","","","","VOLCANIC ROCK","","","FRESH","","WHOLE_ROCK [562] ","45.85","3.71","","12.46","","3.17","8.7","","10.45","8.69","0.17","","1.6","2.77","0.61","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","268","351","","","54","208","70","","","","","","","30.6","696","28.4","307","37","","","","","","","","","","","","","470","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11490",
"[562]","SEAMOUNT","SOCIETY ISLANDS / TEAHITIA / B SERIES / PACIFIC OCEAN","","-17.6","-17.6","-148.9","-148.9","SUBAQUATIC","","","s 3-110 [562]","BASALT [562]","","","","","","","","","VOLCANIC ROCK","","","FRESH","","WHOLE_ROCK [562] ","44.86","3.19","","10.72","","2.36","10.04","","8.99","13.95","0.18","","1.35","2.37","0.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","234","657","","","73","467","64","","","","","","","26.4","605","25","265","32.1","","","","","","","","","","","","","401","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11491",
"[562]","SEAMOUNT","SOCIETY ISLANDS / TEAHITIA / B SERIES / PACIFIC OCEAN","","-17.6","-17.6","-148.9","-148.9","SUBAQUATIC","","","s 3-111 [562]","BASALT [562]","","","","","","","","","VOLCANIC ROCK","","","FRESH","","WHOLE_ROCK [562] ","45.74","3.61","","12.44","","3.31","8.66","","9.99","9.32","0.17","","1.61","2.64","0.56","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","253","392","","","54","247","68","","","","","","","31","662","27","301","36","","","","","","","","","","","","","462","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11492",
"[562]","SEAMOUNT","SOCIETY ISLANDS / TEAHITIA / B SERIES / PACIFIC OCEAN","","-17.6","-17.6","-148.9","-148.9","SUBAQUATIC","","","s 3-114 [562]","BASALT [562]","","","","","","","","","VOLCANIC ROCK","","","FRESH","","WHOLE_ROCK [562] ","45.41","3.4","","11.5","","2.79","9.51","","9.29","11.91","0.17","","1.48","2.47","0.53","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","245","525","","","67","368","63","","","","","","","29.3","618","24.4","280","33.2","","","","","","","","","","","","","413","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11494",
"[562]","SEAMOUNT","SOCIETY ISLANDS / TEAHITIA / PACIFIC OCEAN","","-17.49","-17.49","-148.84","-148.84","SUBAQUATIC","-2800","-2800","s 9DS-3 [562]","BASALT [562]","","","","","","","","","VOLCANIC ROCK","","","FRESH","","WHOLE_ROCK [562] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.14","","15.61","","38.94","","","","","","","","","","","","","","","11503",
"[562]","SEAMOUNT","SOCIETY ISLANDS / MOUA PIHAA / PACIFIC OCEAN","","-18.3","-18.3","-148.7","-148.7","SUBAQUATIC","","","s 28-1CD [562]","BASALT [562]","","","","","","","","","VOLCANIC ROCK","","","FRESH","","WHOLE_ROCK [562] ","44.93","3.55","","15.02","","6.42","5.38","","11.2","4.94","0.16","","1.22","3.45","0.54","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","346","162","","","46","83","133","","","","","","","26","621","38.2","324","45.1","","","","","","","","","","","","","280","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11530",
