"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[13310][5455]","SEAMOUNT","TONGA ARC / UNNAMED SEAMOUNT (TONGA ARC) / PACIFIC OCEAN","","-21","-24","-176","-176.5","SUBAQUATIC","-1500","-1500","s 48/114KD [13310] / s SO48/114KD [5455]","BASALT [13310]","","","","","","","","","VOLCANIC ROCK","","","FRESH","","VOLCANIC GLASS [13310] ","50.91","0.58","","","","","","","","","","","0.28","","","","","","","","","","0.079","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","708","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12187-SO48/114KD",
"[3678][3360]","SEAMOUNT","TONGA ARC / ROCHAMBEAU BANK / DREDGE PPTU 23 / PACIFIC OCEAN","RELAY ZONE","-15.17","-15.17","-176.7","-176.7","SUBAQUATIC","","","s PPTU23-2 [3678]","BASALT [3678] / THOLEIITE [3360]","","","","","","","","APHYRIC [3678] ","VOLCANIC ROCK","","","","","WHOLE_ROCK [3678] / VOLCANIC GLASS [3360] ","48.88","1.89","","14.94","","","","11.35","11.79","6.63","0.19","","0.26","3.1","0.17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","346","238","","","47","115","","","","","","","","5.47","211","41","127","","","","","","","","","","","","","","50","","","","13.68","4.13","","","","","","","","","","3.27","0.375","","","","","","","","","","","","","0.513049","","","0.703338","","","","","","","","","","","","","","","","","","","","","12599-PPTU 23-2",
"[6185]","SEAMOUNT","TONGA ARC / MONOWAI / DREDGE 9DR / PACIFIC OCEAN","","-25.894","-25.894","-177.2","-177.2","SUBAQUATIC","-750","-750","s 9DR-4 [6185]","BASALT [6185]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [6185] ","49.6","0.52","","16.96","","","","9.76","13.12","6.94","0.19","","0.19","1.66","0.05","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","47.9","","","55","","","47.7","12","140","67","","","","","","2.61","184","10.7","28","0.21","0.29","","","","","","","5.09","0.02","","","0.11","54.6","1.12","3.04","0.55","2.97","1.08","0.47","1.53","0.29","1.97","0.43","1.32","0.19","1.27","0.19","0.68","0.03","0.04","","","","","","","0.01","0.86","","0.11","0.06","0.513016","","","0.703473","","18.735","","15.57","","38.347","","","","","","","","","","","","","","","138679",
"[6185]","SEAMOUNT","TONGA ARC / MONOWAI / DREDGE 12DR / PACIFIC OCEAN","","-25.837","-25.837","-177.19","-177.19","SUBAQUATIC","-690","-690","s 12DR-2 [6185]","BASALT [6185]","","","","","","","","","VOLCANIC ROCK","","","","","VOLCANIC GLASS [6185] ","50","0.76","","14.16","","","","11.85","11.54","6.45","0.23","","0.23","2.04","0.22","","","","","","","0.04","0.06","","","","0.04","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50.2","","","21.4","","","43.8","26.8","138","75.5","","","","","","2.62","198","13.1","22.5","0.21","0.61","","","","","","","","","","","0.12","63.5","1.27","3.79","0.66","3.63","1.37","0.56","1.8","0.34","2.31","0.5","1.46","0.21","1.43","0.21","0.78","0.02","","","","","","","","","1.05","","0.13","0.16","0.513026","","","0.703486","","18.692","","15.561","","38.306","","","","","","","","","","","","","","","138680",
"[6185]","SEAMOUNT","TONGA ARC / MONOWAI / DREDGE 13DR / PACIFIC OCEAN","","-25.877","-25.877","-177.187","-177.187","SUBAQUATIC","-440","-440","s 13DR-1 [6185]","BASALT [6185]","","","","","","","","","VOLCANIC ROCK","","","","","VOLCANIC GLASS [6185] ","51.5","0.69","","13.94","","","","12.63","11.94","6.33","0.28","","0.28","1.88","0.2","","","","","","","0.04","0.06","","","","0.02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","53.8","","","34.7","","","42","21.4","132","59.6","","","","","","3.12","190","11.7","19.9","0.17","0.3","","","","","","","","","","","0.13","63.4","1.35","3.71","0.66","3.62","1.33","0.54","1.8","0.33","2.23","0.49","1.4","0.21","1.37","0.21","0.73","","","","","","","","","","0.94","","0.13","0.09","0.513016","","","0.703479","","18.737","","15.578","","38.386","","","","","","","","","","","","","","","138681",
"[6185]","SEAMOUNT","TONGA ARC / MONOWAI / DREDGE 13DR / PACIFIC OCEAN","","-25.877","-25.877","-177.187","-177.187","SUBAQUATIC","-440","-440","s 13DR-3 [6185]","BASALT [6185]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [6185] ","50","0.56","","15.94","","","","10.36","13.52","7.16","0.19","","0.2","1.74","0.06","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","43.3","","","48","","","24.3","13.9","72.2","42.3","","","","","","2.27","114","9.56","15","0.08","","","","","","","","","","","","0.09","34.7","0.88","2.33","0.42","2.2","0.83","0.36","1.19","0.23","1.59","0.35","1.1","0.16","1.07","0.17","0.57","0.01","","","","","","","","","0.54","","0.12","0.04","0.513034","","","0.703469","","18.711","","15.544","","38.277","","","","","","","","","","","","","","","138682",
"[6185]","SEAMOUNT","TONGA ARC / MONOWAI / DREDGE 14DR / PACIFIC OCEAN","","-25.888","-25.888","-177.185","-177.185","SUBAQUATIC","-150","-150","s 14DR-5 [6185]","BASALT [6185]","","","","","","","","","VOLCANIC ROCK","","","","","WHOLE_ROCK [6185] ","50.4","0.61","","15.52","","","","10.91","12.58","6.84","0.21","","0.21","1.57","0.05","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","55.3","","","36","","","43.7","24","135","81","","","","","","3.04","194","12.7","23.5","0.4","0.35","","","","","","","2.55","0.03","","","0.13","61.7","1.31","3.63","0.66","3.64","1.4","0.56","1.91","0.34","2.36","0.52","1.49","0.22","1.47","0.22","0.8","0.03","0.06","","","","","","","0.02","1.01","","0.13","0.07","0.513011","","","0.703473","","18.738","","15.574","","38.371","","","","","","","","","","","","","","","138683",
"[6185]","SEAMOUNT","TONGA ARC / MONOWAI / DREDGE 9DR / PACIFIC OCEAN","","-25.894","-25.894","-177.2","-177.2","SUBAQUATIC","-750","-750","s 9DR-4 [6185]","BASALT [6185]","","","","","","","","","VOLCANIC ROCK","","","","","VOLCANIC GLASS [6185] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.724","","15.559","","38.319","","","","","","","","","","","","","","","138733",
"[6185]","SEAMOUNT","TONGA ARC / MONOWAI / DREDGE 13DR / PACIFIC OCEAN","","-25.877","-25.877","-177.187","-177.187","SUBAQUATIC","-440","-440","s 13DR-1 [6185]","BASALT [6185]","","","","","","","","","VOLCANIC ROCK","","","","","VOLCANIC GLASS [6185] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.716","","15.553","","38.31","","","","","","","","","","","","","","","138734",
"[6185]","SEAMOUNT","TONGA ARC / MONOWAI / DREDGE 14DR / PACIFIC OCEAN","","-25.888","-25.888","-177.185","-177.185","SUBAQUATIC","-150","-150","s 14DR-5 [6185]","BASALT [6185]","","","","","","","","","VOLCANIC ROCK","","","","","VOLCANIC GLASS [6185] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.73","","15.566","","38.343","","","","","","","","","","","","","","","138735",
